gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000012443	ENSMUSG00000012443	81	0.5488755125552383	0.7764582492193159	0.0001121382738185	0.0073775180143754
ENSMUSG00000052516	ENSMUSG00000052516	88	-0.5052361046196894	-0.6670193356380245	0.0001433698498644	0.009190374991308
ENSMUSG00000073421	ENSMUSG00000073421	91	-0.3292380616068845	-0.4021949219969849	0.0001648029394996	0.0103001837187255
ENSMUSG00000087881	ENSMUSG00000087881	93	0.7933845996856688	1.1479216461378157	0.0001833878462303	0.011182185745756
ENSMUSG00000033880	ENSMUSG00000033880	160	0.0289282894460497	0.0384262366539994	0.0002304862473635	0.0137194194859254
ENSMUSG00000119838	ENSMUSG00000119838	174	0.4093739844858637	0.6481253229188277	0.0002446310354367	0.014222734618413
ENSMUSG00000036781	ENSMUSG00000036781	84	-0.8168977493420213	-1.0477123956096783	0.0002704680879388	0.0153675049965253
ENSMUSG00000037625	ENSMUSG00000037625	102	0.0823188247624782	0.1062996444495006	0.0003870587869212	0.0215032659400692
ENSMUSG00000064604	ENSMUSG00000064604	134	0.6400569492019714	0.788217731529567	0.000437941568116	0.0238011721802201
ENSMUSG00000115161	ENSMUSG00000115161	101	0.5223844230175001	0.632015779235367	0.0005156822948929	0.027429909302817
ENSMUSG00000038690	ENSMUSG00000038690	81	-0.8005655169486998	-0.9334647805254764	0.0005702939391262	0.0297028093294906
ENSMUSG00000099927	ENSMUSG00000099927	351	0.088353754580021	0.1076252888451965	0.0006246197724248	0.031868355735964
ENSMUSG00000047215	ENSMUSG00000047215	81	-0.8165881991386398	-1.0713684538084365	0.0006790042707579	0.0339502135378977
ENSMUSG00000079357	ENSMUSG00000079357	159	0.039981125295163	0.0421298031236821	0.0007684656663131	0.0374141004601365
ENSMUSG00000036899	ENSMUSG00000036899	98	0.0642502650618576	0.0875446462964742	0.0007782132895708	0.0374141004601365
ENSMUSG00000002055	ENSMUSG00000002055	108	-0.2481418016366638	-0.4107687315561149	0.0008447233191426	0.0398454395822003
ENSMUSG00000063787	ENSMUSG00000063787	91	-0.7173565715551362	-0.9648999639796736	0.0010553285661052	0.0488578039863537
