gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000063415	194	0.0409535080194488	0.0661755996171463	0.9981925430537713	1.0	ENSMUSG00000063415
ENSMUSG00000019362	80	0.1646674501709646	0.2577841402637787	0.9981965360165076	1.0	ENSMUSG00000019362
ENSMUSG00000091405	93	-0.1763303168117974	-0.2362238438988683	0.99820572033206	1.0	ENSMUSG00000091405
ENSMUSG00000047844	85	-0.1255963623523713	-0.2029306210876368	0.9982142726592946	1.0	ENSMUSG00000047844
ENSMUSG00000051397	105	0.0616967821493743	0.0996838150759769	0.9982409863554198	1.0	ENSMUSG00000051397
ENSMUSG00000037440	97	0.0410327211022373	0.0674823945054314	0.9983053808852836	1.0	ENSMUSG00000037440
ENSMUSG00000020241	95	-0.0313412398099914	-0.0505395442935376	0.9983496246611556	1.0	ENSMUSG00000020241
ENSMUSG00000042429	82	-0.2402138879522681	-0.3087468760756949	0.9983569395345462	1.0	ENSMUSG00000042429
ENSMUSG00000032080	111	-0.0683898866176608	-0.1367410166246234	0.9983826550601198	1.0	ENSMUSG00000032080
ENSMUSG00000055053	88	0.0720794228836887	0.1114014402788641	0.998383046509504	1.0	ENSMUSG00000055053
ENSMUSG00000078234	96	-0.158486533910038	-0.229568874578341	0.9984106921741944	1.0	ENSMUSG00000078234
ENSMUSG00000110928	94	-0.0875741548836224	-0.0797893762052101	0.9984243454225176	1.0	ENSMUSG00000110928
ENSMUSG00000032115	84	0.0155462324619289	0.0282938855087214	0.998443386707938	1.0	ENSMUSG00000032115
ENSMUSG00000047638	83	-0.0601326443254963	-0.085368322526275	0.9984473129918212	1.0	ENSMUSG00000047638
ENSMUSG00000028763	81	-0.1181007717736064	-0.1392403394951656	0.998456606178918	1.0	ENSMUSG00000028763
ENSMUSG00000020048	89	0.0321527212858209	0.0672699448060856	0.9984753666693852	1.0	ENSMUSG00000020048
ENSMUSG00000006958	103	0.0482310146093372	0.0638423119256662	0.9984878720898264	1.0	ENSMUSG00000006958
ENSMUSG00000034616	91	0.0432406544685355	0.0638118731646129	0.9985028206182162	1.0	ENSMUSG00000034616
ENSMUSG00000028927	104	-0.03473722487688	-0.0520547640728482	0.998521078736694	1.0	ENSMUSG00000028927
ENSMUSG00000024219	99	0.0287806242704396	0.0451719887969091	0.998523666683956	1.0	ENSMUSG00000024219
ENSMUSG00000025508	83	-0.0134846687316904	-0.0154910043460575	0.9985262923440548	1.0	ENSMUSG00000025508
ENSMUSG00000020654	103	0.0214862361550334	0.0377484928628434	0.9985497998691596	1.0	ENSMUSG00000020654
ENSMUSG00000023353	104	0.1665125042200089	0.2437150695708383	0.9985511258812262	1.0	ENSMUSG00000023353
ENSMUSG00000078597	165	-0.1064003765583043	-0.1885499564395955	0.998565906843821	1.0	ENSMUSG00000078597
ENSMUSG00000034917	87	0.1535805344581624	0.2380377012752081	0.998568411696616	1.0	ENSMUSG00000034917
ENSMUSG00000007670	87	-0.0195069608278581	-0.0249050921913079	0.9985724647014704	1.0	ENSMUSG00000007670
ENSMUSG00000034472	96	-0.0668129622936252	-0.0965671871496905	0.9985978625419124	1.0	ENSMUSG00000034472
ENSMUSG00000021876	178	-0.0653748132288459	-0.1932549343149626	0.9985999087236384	1.0	ENSMUSG00000021876
ENSMUSG00000003051	86	-0.0225767076015474	-0.0283483052810288	0.9986171081206842	1.0	ENSMUSG00000003051
ENSMUSG00000007097	88	0.0439779127016655	0.0545448337312169	0.9986298044030232	1.0	ENSMUSG00000007097
ENSMUSG00000042632	85	0.1818267822265628	0.2282804800577748	0.9986399395689564	1.0	ENSMUSG00000042632
ENSMUSG00000055430	91	-0.010930389910935	-0.0134824221701473	0.9986483317276708	1.0	ENSMUSG00000055430
ENSMUSG00000046229	96	0.0987385660409914	0.1184338202685648	0.9986536965514056	1.0	ENSMUSG00000046229
ENSMUSG00000036882	115	-0.1637989969458413	-0.2464670514717873	0.9986551936111284	1.0	ENSMUSG00000036882
ENSMUSG00000025207	81	-0.0897058807313429	-0.1366511355023327	0.9987129252504195	1.0	ENSMUSG00000025207
ENSMUSG00000067870	105	0.199525122344495	0.250234350134661	0.9987194359817908	1.0	ENSMUSG00000067870
ENSMUSG00000121793	91	-0.084380690008402	-0.1006033604945176	0.9987297693854004	1.0	ENSMUSG00000121793
