gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000028214	116	0.5431803524494156	0.46207679233323384	0.26350259842781154	0.9265210915183247
ENSMUSG00000020649	80	-0.3311561482027209	-0.36345409301668263	0.2639201840370531	0.9266860394559449
ENSMUSG00000094306	388	0.038807203178291894	0.035607992822037596	0.26450719989099936	0.9274445998983146
ENSMUSG00000025608	85	0.09182742349803097	0.0638222690726823	0.2649509079099803	0.9276992573878863
ENSMUSG00000025317	86	0.005156050808725084	0.004594737807609726	0.26586711887365067	0.9289340575230562
ENSMUSG00000031502	106	0.1543760837521382	0.1098347067276688	0.26604671407460334	0.9289340575230562
ENSMUSG00000026923	90	-0.11628707833588271	-0.1027748497349838	0.26685971396432207	0.9293646059354461
ENSMUSG00000115190	99	0.0021296225488160636	0.00286857069227615	0.26725023317900043	0.9293646059354461
ENSMUSG00000032744	126	-0.435766940005124	-0.31166717634139174	0.26729774652884064	0.9293646059354461
ENSMUSG00000025150	121	0.5070384719117973	0.4427303205527807	0.2676570065094085	0.9293646059354461
ENSMUSG00000021125	138	0.19333400111645432	0.18471864515571645	0.2683750744374265	0.9297806194951491
ENSMUSG00000055254	94	-0.05763712516054757	-0.05265916706983374	0.2685272501629138	0.9297806194951491
ENSMUSG00000053560	141	-0.20751806609332404	-0.16123355920001434	0.26889255515799715	0.9297806194951491
ENSMUSG00000034311	84	0.03498604763299075	0.03549026661264304	0.27035191189368113	0.932582085089624
ENSMUSG00000029322	101	-0.3929569846950459	-0.34230533236650984	0.270448804675991	0.932582085089624
ENSMUSG00000002797	113	-0.2492504495196043	-0.15693121847416563	0.2708309237561659	0.9326133738159984
ENSMUSG00000079494	92	0.47328398246317926	0.3362700556999564	0.27172754518808884	0.9344138417747209
ENSMUSG00000076617	258	0.24891765061766138	0.22191581757040046	0.2730259507909205	0.9375891167270622
ENSMUSG00000088990	85	-0.5291838333010692	-0.4929960381702872	0.27403009139843637	0.9377172013976514
ENSMUSG00000113328	91	-0.6237490467727196	-0.5438999779545597	0.2740898256966725	0.9377172013976514
ENSMUSG00000104273	159	-0.2444884233176762	-0.16843299318369456	0.274370510299329	0.9377172013976514
ENSMUSG00000048373	220	0.0784282549750065	0.06766035394897423	0.275514848179196	0.9377172013976514
ENSMUSG00000092470	124	-0.04264598367735925	-0.04648292520023877	0.2755821599911433	0.9377172013976514
ENSMUSG00000121782	109	-0.5570470809936573	-0.5136713022017385	0.27564354573618843	0.9377172013976514
ENSMUSG00000029193	85	-0.07754304111004151	-0.09744166225392227	0.2763206489352391	0.9377172013976514
ENSMUSG00000022033	81	-0.10034710988402795	-0.09575055541814353	0.2765593278355367	0.9377172013976514
ENSMUSG00000109279	95	-0.3484971906989817	-0.26721992101326514	0.2765857592566562	0.9377172013976514
ENSMUSG00000030247	91	-0.050704839080570975	-0.06758014790681324	0.2768141178525867	0.9377172013976514
ENSMUSG00000020264	80	-0.13202418368309973	-0.12814804343669559	0.2785755259055631	0.9424070565140836
ENSMUSG00000050608	97	-0.1746662288904184	-0.14333883657593893	0.2792600243235315	0.9434460281200387
ENSMUSG00000022598	84	0.30864392216972136	0.25404728757423306	0.28041399112544807	0.9460660969144673
ENSMUSG00000027559	81	0.1090680003166167	0.08947826674962735	0.2811158251669512	0.9468794916134423
ENSMUSG00000103432	93	-0.4263302013278047	-0.38263605710843246	0.2814125849075151	0.9468794916134423
ENSMUSG00000046070	81	-0.4879470840329314	-0.41988106764073163	0.28203082860130024	0.9471742789017379
ENSMUSG00000032128	105	0.13436342552304603	0.14759759198423944	0.2822579351127179	0.9471742789017379
ENSMUSG00000034591	81	0.28205098621546937	0.29685274352568314	0.2837291916399045	0.9508350926270258
ENSMUSG00000055003	141	-0.06086288345977861	-0.055617624443472596	0.285136231899071	0.9542711910946151
ENSMUSG00000052516	89	0.5346461635082919	0.47196478513580775	0.2856882547408319	0.9548404235990372
ENSMUSG00000022018	81	-0.3261260002851534	-0.3104300812096792	0.28829176134832746	0.9622555452213867
ENSMUSG00000048782	130	0.13180099890014413	0.08831126369733779	0.2893419573319518	0.964473191106506
ENSMUSG00000040723	81	-0.23246360812336278	-0.19047388461799306	0.29006619862899097	0.9655998622802628
ENSMUSG00000033307	94	-0.7252060910686867	-0.6151888536194056	0.2926307537370232	0.9710015810237879
ENSMUSG00000039463	85	0.4294818930327879	0.361975774708493	0.29298858057431343	0.9710015810237879
ENSMUSG00000043017	86	0.09053766742872629	0.0849777884112922	0.2931165460607337	0.9710015810237879
ENSMUSG00000001542	80	0.2656643055379381	0.2089066825795368	0.29324247746918397	0.9710015810237879
ENSMUSG00000029445	105	0.28949294686317734	0.22491661513744568	0.2954222709358221	0.9766730494486875
ENSMUSG00000008307	87	0.16201331280171968	0.14338113605047212	0.29643076398106905	0.9766730494486875
ENSMUSG00000014294	80	-0.39018049538136135	-0.3048069988494292	0.2964730121546395	0.9766730494486875
ENSMUSG00000104814	90	-0.4124395241029559	-0.34595623426706335	0.29729511000679465	0.9766730494486875
ENSMUSG00000121784	88	-0.3893364827148601	-0.35959102497055423	0.29743689555283337	0.9766730494486875
