gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000063954	86	0.36433029286563234	0.4447281569779453	0.8444759566813054	0.9999999999999963
ENSMUSG00000031642	111	0.06470433771610216	0.08021339201212152	0.8463776822116728	0.9999999999999963
ENSMUSG00000059049	82	0.08506238759437004	0.1451162533952753	0.8465967454122859	0.9999999999999963
ENSMUSG00000114104	98	0.11405384391545917	0.1619260784802512	0.8480136971099208	0.9999999999999963
ENSMUSG00000019464	102	0.15203699022531386	0.1762291636823226	0.8492986505505125	0.9999999999999963
ENSMUSG00000028832	133	0.010467408038673137	0.01792404754233311	0.8494710249877178	0.9999999999999963
ENSMUSG00000014905	109	0.010633061267433602	0.011768551556414495	0.8517258799631947	0.9999999999999963
ENSMUSG00000038086	84	0.01145635563880371	0.01475663772171219	0.8535632759187952	0.9999999999999963
ENSMUSG00000029752	185	-0.024686607718465772	-0.022926406523761246	0.8551687709559881	0.9999999999999963
ENSMUSG00000001774	81	0.07518057227134836	0.08103494609064574	0.8561518762736154	0.9999999999999963
ENSMUSG00000042029	102	-0.22884500762447768	-0.3240486189070938	0.8561939285957115	0.9999999999999963
ENSMUSG00000121042	177	0.09491738900542168	0.12698829942679724	0.8562728235480962	0.9999999999999963
ENSMUSG00000058740	100	-0.04809164963662681	-0.05310372455249747	0.8576910345918913	0.9999999999999963
ENSMUSG00000003779	80	-0.06606469266116778	-0.09100666243443363	0.8594570757243095	0.9999999999999963
ENSMUSG00000030530	80	0.03877270035445551	0.04754584700024907	0.8604084691519496	0.9999999999999963
ENSMUSG00000027962	89	0.03189800009131494	0.04166238967347991	0.8616061248714593	0.9999999999999963
ENSMUSG00000022878	83	-0.15901556015014878	-0.20782624436165992	0.8617416300453216	0.9999999999999963
ENSMUSG00000024526	80	0.04368116408586361	0.05061770410794533	0.8622828725639451	0.9999999999999963
ENSMUSG00000024781	116	0.05638950932771107	0.07111277591843565	0.8629022425000537	0.9999999999999963
ENSMUSG00000039956	81	0.13345800638198585	0.14516190414500876	0.863772507412445	0.9999999999999963
ENSMUSG00000029414	83	0.11352391242980789	0.18750993915905798	0.8641738479319145	0.9999999999999963
ENSMUSG00002075931	90	-0.0052889964543304455	-0.004294624022778145	0.864300997753119	0.9999999999999963
ENSMUSG00000034422	104	0.09333605766296285	0.08684846126200389	0.8643811087578814	0.9999999999999963
ENSMUSG00000066842	174	0.08601726479828259	0.06892175325523045	0.8647569854749424	0.9999999999999963
ENSMUSG00000059401	85	0.021962386369705832	0.03354152682868881	0.8658384763278064	0.9999999999999963
ENSMUSG00000025488	115	0.1734408915042867	0.1775440242073106	0.8668588238615009	0.9999999999999963
ENSMUSG00000024292	90	0.1810168830677838	0.16701666470494445	0.8673393111157673	0.9999999999999963
ENSMUSG00000029478	80	0.02956920936703648	0.02923108294056549	0.8677959846348239	0.9999999999999963
ENSMUSG00000029556	83	-0.08387919589876984	-0.10064943360417711	0.8683051897337506	0.9999999999999963
ENSMUSG00000051483	102	0.06727506928145839	0.0804862394771654	0.8683766045938093	0.9999999999999963
ENSMUSG00000002265	82	-0.17150039807893241	-0.16680432683964141	0.868480566403504	0.9999999999999963
ENSMUSG00000104339	86	0.3082283161580551	0.35709144998556513	0.8703466190477146	0.9999999999999963
ENSMUSG00000103928	87	0.013252830505367791	0.014687781251536695	0.8703612413574989	0.9999999999999963
ENSMUSG00000118864	144	0.05333641562610937	0.06147465206137856	0.8709817740015184	0.9999999999999963
ENSMUSG00002076451	204	-0.063789078593255	-0.0794613595464585	0.8713231945302553	0.9999999999999963
ENSMUSG00000017716	85	0.2352215528488149	0.3394886430051053	0.8719663617116002	0.9999999999999963
ENSMUSG00000093565	98	-0.027500816155226405	-0.03299003218497071	0.8723795649881293	0.9999999999999963
ENSMUSG00000100153	122	0.19276985581964326	0.2606172754178028	0.874082940880686	0.9999999999999963
ENSMUSG00000024869	123	0.2684402197599403	0.3510939901956759	0.8743189877820126	0.9999999999999963
ENSMUSG00000118936	131	0.4251108914613697	0.3227022506049186	0.8745783077128753	0.9999999999999963
ENSMUSG00000088008	83	0.4906593322753856	0.5223098238770995	0.8752971267042087	0.9999999999999963
ENSMUSG00000044674	87	-0.04216915667057087	-0.048569618244945385	0.8761559918858948	0.9999999999999963
ENSMUSG00000109764	130	-0.08640442639589099	-0.09214960614318937	0.8784436135285056	0.9999999999999963
ENSMUSG00000040405	100	0.09531127512455032	0.10480747070991546	0.8788840396883895	0.9999999999999963
ENSMUSG00000031770	87	0.08248599767684897	0.05302352085401812	0.879085016028929	0.9999999999999963
ENSMUSG00000039639	207	-0.018856027908624996	-0.02969073742584761	0.8790855353666306	0.9999999999999963
ENSMUSG00000024521	93	-0.11373255848884571	-0.1272463709249535	0.88008304555494	0.9999999999999963
ENSMUSG00000029632	82	-0.34158147647977155	-0.5423239522867944	0.8807037935813559	0.9999999999999963
ENSMUSG00000030546	80	-0.09835094297304714	-0.09260541820127312	0.8833789599318842	0.9999999999999963
ENSMUSG00000089617	88	-0.06750232838094332	-0.08040781616778203	0.8842051710473116	0.9999999999999963
ENSMUSG00000050071	107	-0.0477238964289414	-0.07999015600309566	0.8846753187352427	0.9999999999999963
ENSMUSG00000023004	87	0.005526062287388114	0.007759716023977528	0.8872104041798242	0.9999999999999963
ENSMUSG00000034892	104	0.07045796029269512	0.10443293993198852	0.8873684911082994	0.9999999999999963
ENSMUSG00000055485	104	0.356281970441342	0.3966378911742482	0.8882545132919455	0.9999999999999963
ENSMUSG00000017307	88	0.44370909351855414	0.5655854450188584	0.8884335466879585	0.9999999999999963
ENSMUSG00000115423	125	-0.145153748989106	-0.21322544127116236	0.8893026498020491	0.9999999999999963
ENSMUSG00000118012	208	-0.02123234309256068	-0.038461610810229266	0.8899536687218568	0.9999999999999963
ENSMUSG00000055421	89	-0.27836409360170244	-0.3587843488340513	0.8908307486454261	0.9999999999999963
ENSMUSG00000078606	107	0.2540812360122799	0.25270775578238475	0.8908906701140312	0.9999999999999963
ENSMUSG00000037621	124	-0.03377692028880211	-0.0389792717241561	0.8925303839342558	0.9999999999999963
ENSMUSG00000046169	102	0.04877736843191105	0.08217999364896314	0.8928470217476194	0.9999999999999963
ENSMUSG00000040715	230	-0.09183241932187411	-0.10989225848702282	0.8932485552289264	0.9999999999999963
ENSMUSG00000038777	96	0.17839837893843424	0.152708764984827	0.8941025024036644	0.9999999999999963
ENSMUSG00000025197	131	-0.036237437278032136	-0.07583571585816998	0.8964697861641453	0.9999999999999963
ENSMUSG00000046516	82	0.15600022897124055	0.1653071540104406	0.8966844996865033	0.9999999999999963
ENSMUSG00000038677	150	-0.029377126111648603	-0.04021921574136438	0.8968938898645222	0.9999999999999963
ENSMUSG00000115888	86	0.17230547452345416	0.2421657048931594	0.8969297769137442	0.9999999999999963
ENSMUSG00000041220	85	0.10755302459001281	0.10255633070334641	0.8997556616475335	0.9999999999999963
ENSMUSG00000054675	94	-0.053597811050713526	-0.05934158649734426	0.9000687021742485	0.9999999999999963
ENSMUSG00000041372	82	0.10500942934304502	0.1551352004663511	0.9005888118241516	0.9999999999999963
ENSMUSG00000026840	85	0.08893566280603112	0.10254890052448729	0.9007446775184986	0.9999999999999963
ENSMUSG00000055782	96	-0.10300548970699377	-0.1293313655832947	0.901047156893448	0.9999999999999963
ENSMUSG00000008153	99	0.22325472235679386	0.2405191800756916	0.9010795562638272	0.9999999999999963
ENSMUSG00000022805	123	0.1912130147218677	0.20692175701670326	0.9010877349279129	0.9999999999999963
ENSMUSG00000068263	86	0.30793910212814757	0.3905628871818006	0.9040325572550729	0.9999999999999963
ENSMUSG00000035459	87	0.009245146065949669	0.010279472011157554	0.9042525666303599	0.9999999999999963
ENSMUSG00000050777	105	-0.08621410178020628	-0.08734761053765791	0.9047120454623503	0.9999999999999963
ENSMUSG00000086924	90	0.07044317256659144	0.1000908429303174	0.9056783745989521	0.9999999999999963
ENSMUSG00000115420	83	0.3059608720242973	0.35097875248982796	0.9058537624199114	0.9999999999999963
ENSMUSG00000022893	164	-0.1271117109805345	-0.10928824773407447	0.9061311911790977	0.9999999999999963
ENSMUSG00000047281	94	0.10940891876816777	0.11830889631985468	0.9064958942237926	0.9999999999999963
ENSMUSG00000029309	85	-0.05730243846774267	-0.05615251866730083	0.9076688670782227	0.9999999999999963
ENSMUSG00000044749	112	-0.3466780059039609	-0.41819444889002455	0.907708099595545	0.9999999999999963
ENSMUSG00000037474	83	0.0645171463489513	0.09288423375749252	0.907740431633743	0.9999999999999963
ENSMUSG00000033209	81	0.25229688696563307	0.2686816265477895	0.9077494280733116	0.9999999999999963
ENSMUSG00000038412	91	-0.27260914444923634	-0.3447647287394248	0.9091547622951595	0.9999999999999963
ENSMUSG00000032744	124	0.3190242482814919	0.3654514544369968	0.9094357818040906	0.9999999999999963
ENSMUSG00000045328	80	0.06770966537296513	0.10617294367643226	0.9094817969102139	0.9999999999999963
ENSMUSG00000020774	90	0.09036354273557896	0.11704187138451155	0.909696399295183	0.9999999999999963
