rank	gene	degree
203	ENSMUSG00000024485	129
204	ENSMUSG00000020653	129
205	ENSMUSG00000039395	128
206	ENSMUSG00000025491	128
207	ENSMUSG00000034855	128
208	ENSMUSG00000024650	128
209	ENSMUSG00000030218	128
210	ENSMUSG00000118669	128
211	ENSMUSG00000063011	128
212	ENSMUSG00000057036	128
213	ENSMUSG00000025197	128
214	ENSMUSG00000021702	128
215	ENSMUSG00000051811	128
216	ENSMUSG00000031383	127
217	ENSMUSG00000028713	127
218	ENSMUSG00000025185	127
219	ENSMUSG00000022887	127
220	ENSMUSG00000076609	126
221	ENSMUSG00000038641	126
222	ENSMUSG00000061959	126
223	ENSMUSG00000115232	126
224	ENSMUSG00000121034	126
225	ENSMUSG00000049241	125
226	ENSMUSG00000079362	125
227	ENSMUSG00000024190	125
228	ENSMUSG00000029188	125
229	ENSMUSG00000048572	125
230	ENSMUSG00000116988	124
231	ENSMUSG00000118936	124
232	ENSMUSG00000028655	124
233	ENSMUSG00000030087	124
234	ENSMUSG00000099519	123
235	ENSMUSG00000030795	123
236	ENSMUSG00000097421	123
237	ENSMUSG00000087935	123
238	ENSMUSG00000102349	122
239	ENSMUSG00000063177	122
240	ENSMUSG00000079419	122
241	ENSMUSG00000034450	122
242	ENSMUSG00000028715	122
243	ENSMUSG00000022951	122
244	ENSMUSG00000032515	122
245	ENSMUSG00000018427	122
246	ENSMUSG00000041974	121
247	ENSMUSG00000111692	121
248	ENSMUSG00000074063	121
249	ENSMUSG00000101249	121
250	ENSMUSG00000069516	121
251	ENSMUSG00000028214	121
252	ENSMUSG00000031775	121
253	ENSMUSG00000105703	120
254	ENSMUSG00000070661	120
255	ENSMUSG00000047583	120
256	ENSMUSG00000038894	120
257	ENSMUSG00000079015	120
258	ENSMUSG00000118698	119
259	ENSMUSG00000118866	119
260	ENSMUSG00000039058	119
261	ENSMUSG00000040808	119
262	ENSMUSG00000026579	119
263	ENSMUSG00000085541	119
264	ENSMUSG00000067870	118
265	ENSMUSG00000031167	118
266	ENSMUSG00000068196	118
267	ENSMUSG00000104094	118
268	ENSMUSG00000064604	118
269	ENSMUSG00000028967	118
270	ENSMUSG00000115423	118
271	ENSMUSG00000003541	117
272	ENSMUSG00000068744	117
273	ENSMUSG00000038526	117
274	ENSMUSG00000119640	117
275	ENSMUSG00000077391	117
276	ENSMUSG00000120992	117
277	ENSMUSG00000051747	117
278	ENSMUSG00000019232	116
279	ENSMUSG00000026822	116
280	ENSMUSG00000038415	116
281	ENSMUSG00000054364	116
282	ENSMUSG00000001773	116
283	ENSMUSG00000064358	116
284	ENSMUSG00000032080	116
285	ENSMUSG00000092220	115
286	ENSMUSG00000086320	115
287	ENSMUSG00000028909	115
288	ENSMUSG00000023262	115
289	ENSMUSG00000045294	114
290	ENSMUSG00000051149	114
291	ENSMUSG00000044786	114
292	ENSMUSG00000108599	114
293	ENSMUSG00000058952	114
294	ENSMUSG00000024501	114
295	ENSMUSG00000051262	114
296	ENSMUSG00000030096	114
297	ENSMUSG00000009633	114
298	ENSMUSG00000026712	113
299	ENSMUSG00000092470	113
300	ENSMUSG00000027750	113
301	ENSMUSG00000043099	113
302	ENSMUSG00000064354	113
303	ENSMUSG00000042379	113
304	ENSMUSG00000020108	113
305	ENSMUSG00000119761	113
306	ENSMUSG00000119262	113
307	ENSMUSG00000032350	113
308	ENSMUSG00000013089	113
309	ENSMUSG00000002055	113
310	ENSMUSG00000035540	113
311	ENSMUSG00000028262	113
312	ENSMUSG00000114943	113
313	ENSMUSG00000026077	113
314	ENSMUSG00000120425	113
315	ENSMUSG00000003477	112
316	ENSMUSG00000050069	112
