gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000121494	92	0.21592833809554351	0.2523539363151176	0.03360475581954703	0.10116531792754374
ENSMUSG00000021495	80	0.43324459996074466	0.610298537485142	0.033637468210908295	0.10116531792754374
ENSMUSG00000022546	133	0.04626253768801709	0.06163925876043264	0.03427992618269404	0.10283977854808214
ENSMUSG00000036892	84	0.21625875600729919	0.23112121378981546	0.034485360276694355	0.10319808561604296
ENSMUSG00000016763	100	-0.17943101339042009	-0.15925915315577924	0.034690876358371314	0.1035548548011084
ENSMUSG00000070661	120	-0.11842627350706612	-0.12262230489473727	0.034992459462533265	0.10419590906957796
ENSMUSG00000031604	83	-0.18742948770523118	-0.20645337596800026	0.03514149138032596	0.10438066746631473
ENSMUSG00000121069	87	-0.4339563705027087	-0.586826728118174	0.036105362133533436	0.106978850766025
ENSMUSG00000028327	86	0.3592127870768309	0.2588363076691003	0.03677719543959601	0.1087010702648158
ENSMUSG00000021214	85	0.08125954046845422	0.06392695438585155	0.03714667077977418	0.10952335365043984
ENSMUSG00000075025	80	0.20706482679815988	0.3097324046144501	0.03772321516471977	0.11095063283741109
ENSMUSG00000041293	91	-0.10612011998891968	-0.10792074723704138	0.038091880024684666	0.11145109742651604
ENSMUSG00000039438	87	-0.2649656064808371	-0.35680589218857206	0.038146026351824514	0.11145109742651604
ENSMUSG00000023886	138	-0.10464223362505422	-0.1623684146142783	0.038172000868581746	0.11145109742651604
ENSMUSG00000030228	81	0.40919083729386335	0.47937448574213687	0.038795312879010946	0.1129960569291581
ENSMUSG00000119892	97	0.4349373139440999	0.42991799103664496	0.0389503358923855	0.11317288879143486
ENSMUSG00000058672	83	0.1842785939574228	0.21572130849833251	0.03912664430880519	0.1134105632139281
ENSMUSG00000048636	87	-0.02680658698081951	-0.03644046327078491	0.03927586227621138	0.11356875838904497
ENSMUSG00000028068	81	0.12180491193430426	0.2623088409110232	0.040110857401571276	0.11570439635068637
ENSMUSG00000029082	90	0.05383354742080039	0.057731205659448115	0.04030043245490855	0.11597246749613972
ENSMUSG00000001025	82	0.0045129630714651385	0.006008219257531741	0.04103533626040923	0.11777502043713609
ENSMUSG00000070167	92	0.5207268448546503	0.5845674346204903	0.04112311130263335	0.11777502043713609
ENSMUSG00000111394	80	0.2709730684757211	0.3516942808388701	0.042486341045325116	0.12118433849697102
ENSMUSG00000064994	82	0.7666653782129258	0.9151753758797287	0.04251550542268734	0.12118433849697102
ENSMUSG00000057092	82	-0.29238614551723113	-0.3428238546028638	0.04465737690114757	0.12661380863375749
ENSMUSG00000068893	82	-0.3002177726943047	-0.3326122340062422	0.04473513835245968	0.12661380863375749
ENSMUSG00000026202	83	-0.09757789978757489	-0.11626733211043723	0.044736879050594314	0.12661380863375749
ENSMUSG00000059810	107	-0.3644187837839115	-0.47392875909900034	0.044858139448628265	0.12665827609024452
ENSMUSG00000006342	90	-0.09595125444611821	-0.1542188687222537	0.0453081988138867	0.127628729053202
ENSMUSG00000030795	123	0.2733289703726774	0.34942269111662594	0.045448705119528365	0.12772469822818275
ENSMUSG00000035540	113	-0.049617206305266885	-0.05733866832752064	0.045870456197257936	0.12860875569324653
ENSMUSG00000033952	80	0.03460016511380661	0.0761011293818135	0.04624919431933505	0.12936837571841972
ENSMUSG00000065105	80	0.6282853737473444	0.7622347080938616	0.04651554807847713	0.12981083184691292
ENSMUSG00000030854	111	-0.11695602238178211	-0.1494428274494072	0.046733463388047625	0.13011637138203516
ENSMUSG00000080316	80	0.1493357047438594	0.18745761154309765	0.047486743823352495	0.13190762173153472
ENSMUSG00000033715	86	-0.3313734500668948	-0.3765188023851215	0.05073173202152448	0.14059602407812788
ENSMUSG00000101249	121	-0.015841159224509946	-0.014196038785284824	0.05218699096702428	0.1442958275585925
ENSMUSG00000039221	80	0.06797863859683384	0.0511612661532522	0.053313194697251376	0.14707088192345208
ENSMUSG00000033960	87	0.033620909228921504	0.024279407493385516	0.0548535729746934	0.1509731366275965
ENSMUSG00000065637	99	0.30639867633580886	0.3570476260864191	0.05617942907108364	0.15426845511510384
ENSMUSG00000022613	86	-0.08545186817646103	-0.1159650433607914	0.05670507237123379	0.1553563626609145
ENSMUSG00000090877	94	-0.3049618453718731	-0.3776563115361692	0.05708707926009371	0.15604668590458418
ENSMUSG00000080465	84	0.5720428049564326	0.6397099878238988	0.05738977708895032	0.1565175738789554
ENSMUSG00000064382	81	0.5131775140762302	0.5593520449226829	0.05784192146148537	0.1572955293246622
ENSMUSG00000064339	107	-0.45397348031401674	-0.5611969913636834	0.057937186634583915	0.1572955293246622
ENSMUSG00000092470	113	0.03444795235991212	0.05497772089826609	0.05817828816391557	0.15754419375633918
ENSMUSG00000020620	85	-0.23076538555323942	-0.2400657624457665	0.0584361461848788	0.15754419375633918
ENSMUSG00000079056	84	-0.26754987165331856	-0.33870441539280277	0.05857370203272805	0.15754419375633918
ENSMUSG00000036437	91	-0.2196781616658002	-0.20868448035917012	0.05879085354458957	0.15754419375633918
ENSMUSG00000038156	92	-0.14318935573100977	-0.1928344427528937	0.05879215989585762	0.15754419375633918
ENSMUSG00000002250	188	0.0696377810090794	0.052652459123213036	0.05881649900236663	0.15754419375633918
ENSMUSG00000119320	80	0.5488358855247462	0.7050983884179172	0.0593217499507237	0.1585436524295511
ENSMUSG00000022389	82	0.17989389300346179	0.14556069835818505	0.06201368714124822	0.16536983237666192
ENSMUSG00000026185	90	0.251627287137669	0.22509829360358563	0.062216397997610806	0.16554252238832143
ENSMUSG00000062997	80	-0.4526356644928468	-0.622744406522431	0.06457569151077858	0.17143988896666879
ENSMUSG00000074179	154	-0.10617702417075665	-0.12229294164802451	0.06499312906295607	0.17181202831252446
ENSMUSG00000025270	88	0.02256264995667073	0.034382105610685915	0.06500221737823841	0.17181202831252446
ENSMUSG00000018417	80	-0.45174015164375525	-0.5336999113730319	0.06553869511955313	0.17284930580981045
ENSMUSG00000044249	80	-0.11244739182293514	-0.14224835904518626	0.06583378331244483	0.17301380584944684
ENSMUSG00000040693	87	-0.06791198812425202	-0.12137635269222194	0.06590405437417979	0.17301380584944684
ENSMUSG00000119851	108	-0.1506223225034778	-0.167461427033735	0.06603360256587221	0.17301380584944684
ENSMUSG00000069919	96	0.20945690926164434	0.30295019220530633	0.06731211709445262	0.17597939109660815
ENSMUSG00000074063	121	-0.08633882850408472	-0.08631595572589978	0.06751319346029028	0.17612137424423552
ENSMUSG00000030256	134	-0.37267379453405824	-0.31728538921314353	0.06833595163414985	0.17788100208455493
ENSMUSG00000026971	80	0.25429728310555283	0.3653302885962553	0.06907951718268535	0.1794273173576243
ENSMUSG00000020062	81	-0.056526660919188426	-0.08641020934214952	0.06976981363920254	0.18082889064156166
ENSMUSG00000092595	183	-0.17794031407683925	-0.19726425032095643	0.07066039946456171	0.18274241240834924
ENSMUSG00000033705	84	0.15148454904556258	0.20672844471432417	0.07120276429771011	0.18374906915538092
