gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000019577	153	0.13459795340895803	0.2007588150772267	0.0091748509834495	0.10793942333470001
ENSMUSG00000035699	194	-0.04331645071506432	-0.11859126996948904	0.009410096462587725	0.10963219179713854
ENSMUSG00000077611	83	-0.338360118865965	-0.5526154847571476	0.009850613211345283	0.11366092166936864
ENSMUSG00000075705	91	0.16437664926052217	0.3550628275600668	0.01023906588862733	0.11660625940534544
ENSMUSG00000037552	81	-0.1951793074607858	-0.304552773605877	0.010300219580805514	0.11660625940534544
ENSMUSG00000030717	80	-0.2564604129642253	-0.4082176043354925	0.010404628906293012	0.11668742698646369
ENSMUSG00000112441	89	-0.015281338989736002	-0.024965028500074864	0.010868661462923868	0.12076290514359853
ENSMUSG00000107304	84	-0.24735098630189883	-0.4467087901111887	0.01117806083749151	0.12306122022926433
ENSMUSG00000028339	96	-0.3728152088820931	-0.694634236517977	0.012345158518110133	0.13467445656120144
ENSMUSG00000074634	274	0.19272992983460457	0.32878582099799836	0.013647195842366733	0.14753725234991064
ENSMUSG00000031725	82	0.06365602836012725	0.12967088229090779	0.014499777849397821	0.1553547626721195
ENSMUSG00000058927	168	0.16661289781331928	0.2381879933024545	0.014861059819553768	0.15781656445543824
ENSMUSG00002076696	82	-0.5155826032161721	-0.8270494215094377	0.015660604534865397	0.1648484687880568
ENSMUSG00000040405	105	-0.14949678778648237	-0.2702441506175344	0.016132298154444946	0.16748085963330775
ENSMUSG00000029673	90	-0.19622983410954437	-0.4393635745308647	0.01618981643121975	0.16748085963330775
ENSMUSG00000001506	136	-0.28811042457819036	-0.4514635196249961	0.016677025378437182	0.17058396790637975
ENSMUSG00000119662	92	-0.34868324324488553	-0.5649081460574482	0.016774090177460677	0.17058396790637975
ENSMUSG00000019768	132	0.11756380684673817	0.21519151717495308	0.017165775663025573	0.17182648677911086
ENSMUSG00000051331	86	-0.2122663080692302	-0.40318921109020783	0.017182648677911083	0.17182648677911086
ENSMUSG00000080538	85	-0.45186891555786046	-0.5764021862160192	0.017968532267750748	0.17820032001075123
ENSMUSG00000046794	88	0.29186223782598875	0.4641968842405859	0.01843708128214705	0.18134834048013493
ENSMUSG00000027245	99	0.1951086554676278	0.29974348788329186	0.022522570650282958	0.21877874696756194
ENSMUSG00000114943	113	0.0835952054709201	0.13710427635019062	0.022730087957749	0.21877874696756194
ENSMUSG00000036856	81	-0.2852115392684927	-0.4644025898407971	0.022789452809121036	0.21877874696756194
ENSMUSG00000045871	107	0.2603632882237429	0.4538241215751796	0.023702193466771715	0.22573517587401634
ENSMUSG00000074577	83	-0.2012092709541336	-0.3783459184998133	0.02420335777998761	0.2286931443778357
ENSMUSG00000104586	92	-0.16446322137489772	-0.3584115477373885	0.02494476937780088	0.2324257745040806
ENSMUSG00000021495	80	-0.3537124380469314	-0.6484963930990975	0.025173798129786484	0.2324257745040806
ENSMUSG00000025498	164	-0.06489815241657179	-0.11353234211806458	0.025334212884142615	0.2324257745040806
ENSMUSG00000053877	84	-0.1882751697674384	-0.3291401982478041	0.0253731470500288	0.2324257745040806
ENSMUSG00000048911	86	0.10646576695144222	0.18429715117885187	0.026165518142253763	0.23786834674776147
ENSMUSG00000071637	178	-0.0028571974486106015	-0.0038798808903586796	0.0267225071943753	0.23947172177202192
ENSMUSG00000085087	96	0.020796401891857323	0.04140637143558237	0.02684816837168824	0.23947172177202192
ENSMUSG00000020062	81	0.005862076580523605	0.010547984127385002	0.026940568699352463	0.23947172177202192
ENSMUSG00000095545	204	-0.185401491820813	-0.3377921536686252	0.031628013927113896	0.27907071112159315
ENSMUSG00000026185	90	-0.06025793254375452	-0.08053147986346419	0.03188965038267444	0.2793254048117469
