gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00000047909	0.07831935679972798	0.2873859808545304	0.2090666240548024
ENSMUSG00000016239	0.07813644645327869	0.2467951114840919	0.1686586650308132
ENSMUSG00000031538	0.07809785028134908	0.3034203149591191	0.22532246467777
ENSMUSG00000065118	0.07806091150160038	0.3145827004166496	0.2365217889150492
ENSMUSG00000064341	0.07780671500864389	0.3954247037467168	0.3176179887380729
ENSMUSG00000055235	0.07745866436061599	0.3542069948336583	0.2767483304730423
ENSMUSG00000073702	0.076708084117385	0.3709606819108915	0.2942525977935065
ENSMUSG00000070469	0.076686772272885	0.2950867531549931	0.2183999808821081
ENSMUSG00000029231	0.0766581094918356	0.3033413279891498	0.2266832184973142
ENSMUSG00000042942	0.07655723076783988	0.371682905888809	0.2951256751209691
ENSMUSG00000032060	0.07653624466967018	0.3601497383247797	0.2836134936551095
ENSMUSG00000069008	0.07639777647034368	0.300301234541151	0.2239034580708073
ENSMUSG00000059534	0.07635351424588793	0.2714093603303924	0.1950558460845045
ENSMUSG00000001506	0.0761319664114807	0.2695838658867456	0.1934518994752649
ENSMUSG00000025481	0.07602379991319902	0.3279993916777396	0.2519755917645406
ENSMUSG00000032350	0.07588559538950199	0.2585809320746323	0.1826953366851303
ENSMUSG00000041293	0.07586422913182508	0.3181648333084245	0.2423006041765994
ENSMUSG00000104324	0.07577498864098448	0.3720024765084088	0.2962274878674243
ENSMUSG00000036565	0.07573279605630928	0.3311018826084994	0.2553690865521901
ENSMUSG00000024064	0.0754600164727752	0.3250182022089777	0.2495581857362025
ENSMUSG00000086370	0.07532285911346354	0.3693641119305878	0.2940412528171243
ENSMUSG00000002409	0.07492286617587193	0.301546420704182	0.2266235545283101
ENSMUSG00000064994	0.07484879326489569	0.3433467677941411	0.2684979745292454
ENSMUSG00000029066	0.074214111813692	0.2162949143759202	0.1420808025622282
ENSMUSG00000035342	0.0739645930369624	0.420176702087673	0.3462121090507106
ENSMUSG00000117870	0.07389403494007629	0.2572210147063579	0.1833269797662816
ENSMUSG00000069310	0.07368130190659791	0.2626847344916958	0.1890034325850979
ENSMUSG00000022435	0.07355031289287872	0.3131495429415466	0.2395992300486679
ENSMUSG00000060032	0.07353473125324939	0.2747343796127358	0.2011996483594864
ENSMUSG00000018567	0.07318675135464181	0.2149011435257957	0.1417143921711539
ENSMUSG00000021913	0.07316675831177971	0.3955413957713324	0.3223746374595527
ENSMUSG00000001870	0.07294322193609581	0.3016530200935551	0.2287097981574593
ENSMUSG00000033020	0.07286197024656949	0.3138675165804607	0.2410055463338912
ENSMUSG00000040694	0.0725467671181439	0.2885754339275748	0.2160286668094309
ENSMUSG00000032334	0.0724721390273454	0.3490610252236902	0.2765888861963448
ENSMUSG00000032380	0.0723650769723799	0.2694510285932375	0.1970859516208576
ENSMUSG00000001986	0.07229557562581529	0.3006721137773799	0.2283765381515646
ENSMUSG00000028497	0.0719468028572173	0.2642142003114114	0.1922673974541941
ENSMUSG00000026574	0.0718908917460788	0.3207368978369628	0.248846006090884
ENSMUSG00000021884	0.07184717525752121	0.3391118157775088	0.2672646405199876
ENSMUSG00000070368	0.07156976848784011	0.299681091076129	0.2281113225882889
ENSMUSG00000028195	0.0713784856543293	0.3686578397731577	0.2972793541188284
ENSMUSG00000032526	0.0713683500267438	0.3282613623675497	0.2568930123408059
ENSMUSG00000074063	0.07103636132869989	0.402931023370199	0.3318946620414991
ENSMUSG00000006649	0.0710094548183472	0.2981581548566063	0.2271487000382591
ENSMUSG00000027035	0.07090199515294354	0.3330015758728436	0.2620995807199001
ENSMUSG00000062456	0.0707621620354035	0.2832007880704631	0.2124386260350596
ENSMUSG00000041577	0.07061629278822631	0.2614756232563446	0.1908593304681183
ENSMUSG00000090386	0.07058448745357229	0.2852656784435646	0.2146811909899923
ENSMUSG00000070645	0.07019257724674449	0.2608653527141217	0.1906727754673772
ENSMUSG00000028836	0.06995064597940259	0.2741563922648878	0.2042057462854852
ENSMUSG00000062980	0.06976755036427687	0.2675567524971272	0.1977892021328503
ENSMUSG00000049751	0.06973593366937611	0.296120821438685	0.2263848877693089
ENSMUSG00000055116	0.06968893639277879	0.2275200290244186	0.1578310926316398
ENSMUSG00000032330	0.0696580720585723	0.3076456661769031	0.2379875941183308
ENSMUSG00000040441	0.0695793294514076	0.3219963074806137	0.2524169780292061
ENSMUSG00000062901	0.0694717558365128	0.3169743982871122	0.2475026424505994
ENSMUSG00000048373	0.06942722564275791	0.2982512403938416	0.2288240147510837
ENSMUSG00000040952	0.06928422912299315	0.3540362410531058	0.2847520119301127
ENSMUSG00000023886	0.06900834924152838	0.371374745563822	0.3023663963222936
ENSMUSG00000024621	0.06896967598339088	0.3261566929214565	0.2571870169380656
ENSMUSG00000081058	0.06896082491585198	0.39929939717016	0.330338572254308
ENSMUSG00000036083	0.06886523076688611	0.2361113511689245	0.1672461204020384
ENSMUSG00000115686	0.06876685149439349	0.3332791068091422	0.2645122553147487
ENSMUSG00000021998	0.06869188878309906	0.3288815456597939	0.2601896568766948
