gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000010064	0.01909542071598891	0.2730825180274986	0.2539870973115097
ENSMUSG00000000402	0.019078420219455022	0.2611145348923992	0.2420361146729442
ENSMUSG00000104292	0.019064192513436995	0.3056061394491401	0.3246703319625771
ENSMUSG00000070368	0.019052959087363208	0.2471642816756521	0.2281113225882889
ENSMUSG00000084803	0.019035065713630617	0.2060643762459083	0.2250994419595389
ENSMUSG00000040966	0.019015392055810376	0.2470528407266605	0.2660682327824709
ENSMUSG00000041779	0.018954457983181003	0.1126645845698586	0.1316190425530396
ENSMUSG00000017677	0.018904244851014412	0.1391151719481712	0.1580194167991856
ENSMUSG00000037953	0.0188928243636347	0.0600000585437662	0.0788928829074009
ENSMUSG00000025508	0.018882875001048793	0.2740276848036382	0.292910559804687
ENSMUSG00000121777	0.018850418918023498	0.0857195758433027	0.0668691569252792
ENSMUSG00000039956	0.018844919711207997	0.1030643406199448	0.0842194209087368
ENSMUSG00000039236	0.01882139763528673	0.2690846020528404	0.2502632044175537
ENSMUSG00000004151	0.01880782550535881	0.2516148250540527	0.2704226505594115
ENSMUSG00000023089	0.018793077724159696	0.1833970562103535	0.1646039784861938
ENSMUSG00000021336	0.018749968558026714	0.1755546132453334	0.1943045818033601
ENSMUSG00000110282	0.018731956915486597	0.0891243260673004	0.107856282982787
ENSMUSG00000028834	0.018721647786774293	0.116519002605633	0.0977973548188587
ENSMUSG00000048120	0.018706284294799105	0.096565340397331	0.0778590561025319
ENSMUSG00000037725	0.018694843357799695	0.3481487497339545	0.3294539063761548
ENSMUSG00000040860	0.0186693307752073	0.0869589220307816	0.0682895912555743
ENSMUSG00000042514	0.018662297710102	0.2117987914104726	0.1931364937003706
ENSMUSG00000103869	0.0186506632082655	0.1737710164958958	0.1924216797041613
ENSMUSG00000028234	0.018609892437920106	0.1647285481755677	0.1833384406134878
ENSMUSG00000026639	0.018602425508367507	0.0556444036952678	0.0742468292036353
ENSMUSG00000029098	0.01859484804782041	0.1739894812783431	0.1553946332305227
ENSMUSG00000109314	0.018588315232796415	0.2802026282632305	0.2616143130304341
ENSMUSG00000069917	0.0185871865527402	0.0808803774088669	0.0622931908561267
ENSMUSG00000026819	0.018544428946118297	0.1859808561878745	0.2045252851339928
ENSMUSG00000026077	0.01840750561235821	0.242973356800592	0.2245658511882338
ENSMUSG00000048731	0.0183894986701012	0.1715387467194795	0.1899282453895807
ENSMUSG00000018171	0.018388483906188302	0.2352010462848913	0.2535895301910796
ENSMUSG00000023036	0.01836255287918609	0.2867800876987021	0.268417534819516
ENSMUSG00000015090	0.018361899047484587	0.2670302151314621	0.2486683160839775
ENSMUSG00000010044	0.018288967345178597	0.2279355423393388	0.2462245096845174
ENSMUSG00000109764	0.0182842286139136	0.1133389253891958	0.1316231540031094
ENSMUSG00000114456	0.018260030080539502	0.0691687759497525	0.087428806030292
ENSMUSG00000040904	0.01823750598177401	0.2252788267115168	0.2070413207297428
ENSMUSG00000054640	0.018226574722175815	0.2506987174042293	0.2689252921264051
ENSMUSG00000097183	0.01822426548956091	0.2801368729789321	0.298361138468493
ENSMUSG00000016918	0.0181732198472834	0.1682028543155157	0.1500296344682323
ENSMUSG00000061718	0.01816841919701573	0.2960521221309549	0.3142205413279706
ENSMUSG00000098274	0.018153873274283694	0.1016462161813211	0.0834923429070374
ENSMUSG00000071415	0.0181486728336729	0.1225773212126788	0.1407259940463517
ENSMUSG00000021884	0.01812831644841051	0.2491363240715771	0.2672646405199876
ENSMUSG00000102844	0.018120155231896806	0.2662120537874691	0.2480918985555723
ENSMUSG00000032085	0.01808260286050256	0.2370370929215576	0.2551196957820602
ENSMUSG00000026921	0.0179634121605875	0.1746585304638561	0.1926219426244436
ENSMUSG00000017307	0.0179503938857756	0.2401298270953973	0.2580802209811729
ENSMUSG00000103711	0.017949575651098837	0.2729184108811291	0.2549688352300303
ENSMUSG00000019738	0.017947899573296094	0.1687955185160594	0.1867434180893555
ENSMUSG00000056025	0.017925309544700285	0.2140537272043868	0.2319790367490871
ENSMUSG00000109532	0.01791585990562511	0.1814027542916133	0.1993186141972384
ENSMUSG00000031609	0.01789352477617856	0.2715296958446128	0.2536361710684342
ENSMUSG00000037035	0.0178870576042795	0.220766715479361	0.2386537730836405
ENSMUSG00000028919	0.017849637563841808	0.1729197427515364	0.1550701051876946
ENSMUSG00000030987	0.01784940590889919	0.2387866393738067	0.2209372334649075
ENSMUSG00000087141	0.017847681817474093	0.2329968981151718	0.2151492162976977
ENSMUSG00000022512	0.0178445167802187	0.0983580939063132	0.0805135771260945
ENSMUSG00000118012	0.017836526310068185	0.2291370614711402	0.2469735877812084
ENSMUSG00000015981	0.017810045982280087	0.2559066999042977	0.2737167458865778
ENSMUSG00000074254	0.017799122894750607	0.1224978673317664	0.1046987444370158
ENSMUSG00000118366	0.017787690520791183	0.2478498298832729	0.2656375204040641
ENSMUSG00000049892	0.017758827757580697	0.1809901475468299	0.1987489753044106
ENSMUSG00000006235	0.017739882578657218	0.3319922386333199	0.3497321212119771
ENSMUSG00000118671	0.01772783714601031	0.148069032745041	0.1657968698910513
ENSMUSG00000075389	0.017699759776301907	0.1188526736346845	0.1011529138583826
ENSMUSG00000026622	0.017615683086946637	0.2420910103515516	0.2597066934384982
ENSMUSG00000026473	0.01761041341053743	0.3055318775348213	0.2879214641242839
ENSMUSG00000048007	0.017573562441810908	0.1132355337718615	0.0956619713300506
ENSMUSG00000040808	0.017551032111940812	0.3032425035118636	0.3207935356238044
ENSMUSG00000034226	0.01754871747125361	0.1305040456563945	0.1129553281851409
ENSMUSG00000061947	0.0175353082723865	0.1292965161099135	0.1468318243823
ENSMUSG00000072893	0.01752944891929921	0.0775022975892708	0.09503174650857
ENSMUSG00000025144	0.017472105374251423	0.2762475918520616	0.2587754864778102
ENSMUSG00000102374	0.01747003560064253	0.3124086865639589	0.2949386509633164
ENSMUSG00000021207	0.017428169302721702	0.1634568812183923	0.1460287119156706
ENSMUSG00000077563	0.0174264102806901	0.0877391692692395	0.1051655795499296
ENSMUSG00000039016	0.017374964967698386	0.2002678872179992	0.2176428521856976
ENSMUSG00000068742	0.017374107256815707	0.2586945710248395	0.2413204637680238
ENSMUSG00000026043	0.01730451210990719	0.337812635650186	0.3205081235402788
ENSMUSG00000024781	0.01728094601462321	0.3016516792378445	0.2843707332232213
ENSMUSG00000026208	0.017240150938561183	0.1598262570722367	0.1425861061336755
ENSMUSG00000121818	0.01722150231270199	0.0987604704658416	0.1159819727785436
ENSMUSG00000090077	0.017192856560443198	0.1078428170109883	0.0906499604505451
ENSMUSG00000051397	0.017158071468911407	0.3395916362022144	0.322433564733303
ENSMUSG00000026394	0.0171440290537703	0.2624139307648209	0.2452699017110506
ENSMUSG00000050621	0.017142749530521584	0.2485980737085393	0.2657408232390609
ENSMUSG00000108414	0.01712199270094289	0.3395642368865423	0.3224422441855994
ENSMUSG00000039648	0.017114460214614102	0.0878234447347178	0.1049379049493319
ENSMUSG00000029602	0.017109954043425996	0.0977229632706484	0.0806130092272224
ENSMUSG00000030228	0.017103664576410327	0.3492213973942253	0.332117732817815
ENSMUSG00000022018	0.017055086537587603	0.0507084962075734	0.067763582745161
ENSMUSG00000085385	0.01704531788154967	0.3166190019503534	0.3336643198319031
ENSMUSG00002076650	0.01703341713053741	0.2113410001771989	0.1943075830466615
ENSMUSG00000042793	0.017010061895319978	0.262014497574763	0.245004435679443
ENSMUSG00000067288	0.01700901371090209	0.1275869811976809	0.1105779674867788
ENSMUSG00000075279	0.0170058545722839	0.0666700790382645	0.0836759336105484
ENSMUSG00000091405	0.017000034874091685	0.2551387151408587	0.238138680266767
ENSMUSG00000032515	0.01699922518193009	0.1593568388985856	0.1423576137166555
ENSMUSG00000031596	0.016972769508835528	0.35440008360183	0.3374273140929945
ENSMUSG00000025479	0.016957538332571187	0.2314626851951722	0.2484202235277434
ENSMUSG00000117789	0.016949835770061983	0.2710014496546886	0.2540516138846266
ENSMUSG00000029445	0.016891127377444512	0.0928787125905531	0.1097698399679976
ENSMUSG00000075031	0.016885002862270404	0.2809378444579911	0.2978228473202615
ENSMUSG00000112324	0.016853862386941365	0.3043033826009622	0.2874495202140208
ENSMUSG00000048142	0.016849349040251205	0.1962269028088646	0.1793775537686134
ENSMUSG00000056313	0.016815916333689812	0.2459558445800637	0.2291399282463739
ENSMUSG00000090165	0.016786723505044177	0.2911421880287309	0.2743554645236867
ENSMUSG00000100210	0.016786360303187697	0.2539915950970545	0.2707779554002422
ENSMUSG00000119838	0.0167842990014192	0.0659863191306721	0.0827706181320913
ENSMUSG00000020798	0.016764607908834203	0.0933927915351089	0.0766281836262747
ENSMUSG00000012705	0.016751349044520886	0.2189918917857345	0.2022405427412136
ENSMUSG00000032911	0.016722716580458707	0.2974695205540439	0.3141922371345026
ENSMUSG00000032380	0.01666851746297579	0.2137544690838334	0.1970859516208576
ENSMUSG00000009633	0.016635884345184093	0.261989259710053	0.2786251440552371
ENSMUSG00000033880	0.016627572547521785	0.220830476009821	0.2374580485573428
ENSMUSG00000022579	0.01661638390519732	0.2499316306263873	0.2665480145315846
ENSMUSG00000108655	0.016595182452792998	0.082681747737145	0.066086565284352
ENSMUSG00000062901	0.01658861409782228	0.2640912565484217	0.2475026424505994
ENSMUSG00000045680	0.016588148676412895	0.2905351820987185	0.3071233307751314
ENSMUSG00000029581	0.016540654405787503	0.241246478632165	0.2247058242263775
ENSMUSG00000046574	0.016537142057182985	0.2679710702111841	0.2514339281540011
ENSMUSG00000028463	0.016510245498176895	0.156675240933085	0.1731854864312619
ENSMUSG00000080316	0.0164887519417138	0.0679007564245911	0.0843895083663049
ENSMUSG00000016756	0.016481591675018392	0.160002283541992	0.1764838752170104
ENSMUSG00000030278	0.0164813997424825	0.1463494915885275	0.129868091846045
ENSMUSG00000028407	0.016476251300520106	0.220578232395798	0.2370544836963181
ENSMUSG00000120963	0.016452634251105824	0.2439711592810171	0.2604237935321229
ENSMUSG00000037347	0.016435493680182878	0.2944687012892887	0.2780332076091058
ENSMUSG00000021390	0.016369870976049916	0.3327152052545165	0.3490850762305664
ENSMUSG00000119476	0.016365311629120805	0.2006794586848275	0.2170447703139483
ENSMUSG00000050010	0.016313934848083092	0.1238230489761573	0.1401369838242404
ENSMUSG00000034739	0.01629344964694579	0.2763119614402672	0.2600185117933214
ENSMUSG00000020782	0.016246777036682314	0.2547886177000574	0.2710353947367397
ENSMUSG00000002985	0.016235497317246494	0.0876643928581546	0.0714288955409081
ENSMUSG00000038745	0.016210563674427504	0.0739930838008095	0.057782520126382
ENSMUSG00000030409	0.016204300727211712	0.1776693656324265	0.1938736663596382
ENSMUSG00000064225	0.016203203853606296	0.3419946620478093	0.325791458194203
ENSMUSG00000038094	0.016194973968733595	0.2123252707328638	0.1961302967641302
ENSMUSG00000025488	0.016167671875864403	0.1977398170576759	0.2139074889335403
ENSMUSG00000110558	0.01615163903158151	0.2429299660190527	0.2267783269874712
ENSMUSG00000118669	0.016145276665776198	0.3079153893267298	0.2917701126609536
ENSMUSG00000086290	0.01614422471287072	0.2344237014504725	0.2505679261633432
ENSMUSG00000045672	0.0161412794761487	0.0945752540857472	0.0784339746095985
ENSMUSG00000020219	0.0160766560789794	0.3221716204964769	0.3382482765754563
ENSMUSG00000111923	0.016074981371134806	0.1060661667154363	0.1221411480865711
ENSMUSG00000039196	0.0160610291863309	0.2933888901569814	0.2773278609706505
ENSMUSG00000020241	0.016021383696331493	0.2594661261648435	0.243444742468512
ENSMUSG00000119132	0.016016720672140702	0.1031267627667149	0.0871100420945742
ENSMUSG00000018830	0.01600345444632917	0.3082115931357385	0.2922081386894093
ENSMUSG00000041372	0.01596597161011909	0.2627374706477822	0.2787034422579013
ENSMUSG00000002265	0.015942477194333005	0.3015591737648228	0.3175016509591558
ENSMUSG00000022438	0.015899553294367097	0.2902496251578458	0.2743500718634787
ENSMUSG00000102151	0.015876903962424194	0.3158532682358855	0.3317301721983097
ENSMUSG00000036446	0.015875887229413688	0.1242626639100819	0.1083867766806682
ENSMUSG00000013611	0.015846838794198098	0.215632150388423	0.2314789891826211
ENSMUSG00000106867	0.01583218178513013	0.31766081610368	0.3018286343185499
ENSMUSG00000116993	0.015800933282841684	0.22846863979317	0.2442695730760117
ENSMUSG00000032719	0.0158002517434873	0.0861715379983064	0.0703712862548191
ENSMUSG00000048482	0.015799976363179036	0.3194797216329214	0.3352796979961004
ENSMUSG00000029368	0.015787366785228102	0.1896512961369921	0.2054386629222202
ENSMUSG00000036777	0.0157622109981035	0.0906437724352674	0.0748815614371639
ENSMUSG00000025815	0.015747854412511586	0.2379385244275556	0.222190670015044
ENSMUSG00000012187	0.015676218805598788	0.1383805641821542	0.1227043453765554
ENSMUSG00000062248	0.01564768735103783	0.2824202717667211	0.2980679591177589
ENSMUSG00000028268	0.015645499294324294	0.284329349818932	0.2686838505246077
ENSMUSG00000050737	0.0155474411688441	0.2066652486576217	0.2222126898264658
ENSMUSG00000022587	0.015543978692739602	0.2042024860778642	0.1886585073851246
ENSMUSG00000107116	0.015541362995521502	0.2460922270374547	0.2305508640419332
ENSMUSG00000016239	0.015535270577856808	0.18419393560867	0.1686586650308132
ENSMUSG00000048376	0.015533083728611785	0.3091509300671102	0.2936178463384984
ENSMUSG00000032081	0.0155213922188608	0.0798827385783581	0.0954041307972189
ENSMUSG00000118751	0.015512605907630594	0.1021354969421512	0.0866228910345206
ENSMUSG00000020839	0.015503449723268892	0.192914313622535	0.2084177633458039
ENSMUSG00000027829	0.015499138140143809	0.266454355749802	0.2819534938899458
ENSMUSG00000022218	0.015491330593406183	0.3400905516395783	0.3555818822329845
ENSMUSG00000103983	0.015464132825659088	0.2200272581907461	0.204563125365087
ENSMUSG00000075025	0.015449791969331397	0.1078141937191838	0.0923644017498524
ENSMUSG00000025089	0.015440635051868212	0.2432861159452706	0.2587267509971388
ENSMUSG00000102476	0.015434161942148084	0.3454936207825289	0.3300594588403808
ENSMUSG00000027326	0.015412063861810904	0.0728974675523897	0.0883095314142006
ENSMUSG00000024427	0.015379760482741367	0.2598016640382392	0.2444219035554978
ENSMUSG00000042784	0.015355382868758483	0.3039345071185361	0.2885791242497776
ENSMUSG00000074151	0.015353448861911811	0.2192278279867032	0.2038743791247914
ENSMUSG00000020649	0.015314155720425493	0.0799245790278982	0.0646104233074727
ENSMUSG00000047986	0.015294266018525626	0.2876997352253146	0.272405469206789
ENSMUSG00000002625	0.01529222128429611	0.1524609350078586	0.1677531562921547
ENSMUSG00000096929	0.015275460398443103	0.0847171245926745	0.0694416641942314
ENSMUSG00000040943	0.015266310458016213	0.2471385231996152	0.231872212741599
ENSMUSG00000058624	0.015263153399929702	0.2462262067376276	0.2614893601375573
ENSMUSG00000079018	0.015252514061598804	0.1033043106353908	0.088051796573792
ENSMUSG00000121092	0.015247894235360437	0.2969658526287146	0.2817179583933542
ENSMUSG00000074415	0.01522087957436491	0.3138084057199396	0.2985875261455747
ENSMUSG00000031004	0.015216293839917697	0.0862552903442033	0.0710389965042856
ENSMUSG00000031700	0.015192373913061719	0.1282947911074354	0.1131024171943737
ENSMUSG00000066072	0.015186837771668293	0.3656695334156334	0.3808563711873017
ENSMUSG00000074892	0.015174384574930588	0.2917272506883247	0.3069016352632553
ENSMUSG00000056328	0.015153129003041	0.184572472680687	0.199725601683728
ENSMUSG00000056749	0.015123522537785289	0.1802909983739251	0.1651674758361398
ENSMUSG00000045294	0.015121097819428275	0.3871238244013639	0.3720027265819356
ENSMUSG00000044258	0.0150771033152097	0.2209853770109698	0.2059082736957601
ENSMUSG00000021185	0.015047174387480378	0.3301904319118425	0.3151432575243621
ENSMUSG00000042099	0.015024777555253416	0.1608574018073659	0.1458326242521125
ENSMUSG00000119892	0.015006687436391997	0.2224797492814474	0.2074730618450554
ENSMUSG00000085396	0.014993982481259993	0.3427117656271795	0.3277177831459195
ENSMUSG00000090486	0.014962817443171128	0.3357786808901644	0.3507414983333355
ENSMUSG00000034422	0.014933778118642604	0.2594667326042613	0.2744005107229039
ENSMUSG00000025608	0.014902018008502882	0.2707922433043772	0.2558902252958743
ENSMUSG00000075520	0.014831980523472121	0.3120414712545128	0.2972094907310407
ENSMUSG00000044405	0.014789610408923098	0.1688326357211919	0.1540430253122688
ENSMUSG00000042429	0.01476659564384139	0.1522494140069251	0.1374828183630837
ENSMUSG00000040740	0.014748793619378198	0.1906881250091363	0.2054369186285145
ENSMUSG00000022435	0.014734674043691276	0.2543339040923592	0.2395992300486679
ENSMUSG00000025153	0.014723853361785388	0.068914441140242	0.0836382945020274
ENSMUSG00000005553	0.014679534964045199	0.1585802908267776	0.1732598257908228
ENSMUSG00000025270	0.014663214152499299	0.0735069806423426	0.0881701947948419
ENSMUSG00000098557	0.014631806535378655	0.2695092233125381	0.2841410298479168
ENSMUSG00000002797	0.014623697390991008	0.2045477709550839	0.2191714683460749
ENSMUSG00000031844	0.0146164463544107	0.2119246681236454	0.2265411144780561
ENSMUSG00000020651	0.014614684490191099	0.2504381412889245	0.2358234567987334
ENSMUSG00000042410	0.014594685117817585	0.1428110756898057	0.1282163905719881
ENSMUSG00000005397	0.014556432382238804	0.2934120236384849	0.2788555912562461
ENSMUSG00000034459	0.01455168223858988	0.2935718071093057	0.2790201248707158
ENSMUSG00000100967	0.014548248921407991	0.0688252178136782	0.0833734667350862
ENSMUSG00000058297	0.014517945333621496	0.2648102432593525	0.279328188592974
ENSMUSG00000031775	0.014515893727275186	0.2294036887747722	0.2439195825020474
ENSMUSG00000042029	0.014498186784534517	0.1817698378396251	0.1672716510550906
ENSMUSG00000040272	0.014496699288580411	0.2427783336578507	0.2282816343692703
ENSMUSG00000021594	0.01449475972342859	0.2146316645671317	0.2291264242905603
ENSMUSG00000113065	0.014477292675961706	0.2378682355707215	0.2233909428947598
ENSMUSG00000018427	0.01443918894012422	0.2519174784438487	0.2374782895037245
ENSMUSG00000040693	0.014406596539194197	0.08325928431019	0.0688526877709958
ENSMUSG00000003429	0.01436537223929299	0.1989299316231528	0.2132953038624458
ENSMUSG00000060636	0.014357993957975296	0.2531288329823913	0.238770839024416
ENSMUSG00000057036	0.014310295501525905	0.2179343148702988	0.2036240193687729
ENSMUSG00000020123	0.014308668801838786	0.0855955940319977	0.0712869252301589
ENSMUSG00000023073	0.014265989394429801	0.1669384403412117	0.1526724509467819
ENSMUSG00000005413	0.014250509231392594	0.0773562499741008	0.0916067592054934
ENSMUSG00000032946	0.014233520645461406	0.2691313380825287	0.2833648587279901
ENSMUSG00000027875	0.014215803338552185	0.2124733125317052	0.2266891158702574
ENSMUSG00000065822	0.0142106689920663	0.1043456481758637	0.0901349791837974
ENSMUSG00000038412	0.01420677572704171	0.2950814322978723	0.2808746565708306
ENSMUSG00000061878	0.014143048667322133	0.3239373757453075	0.3097943270779854
ENSMUSG00000039519	0.014142069773018684	0.2242931573970763	0.238435227170095
ENSMUSG00000060032	0.014105387027064487	0.1870942613324219	0.2011996483594864
ENSMUSG00000034156	0.014080674675878396	0.1340419689906904	0.1481226436665688
