gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000020798	ENSMUSG00000020798	148	-0.1392974629998213	-0.2492290658114896	4.906669213156079e-07	2.0444455054816995e-05
ENSMUSG00000050621	ENSMUSG00000050621	117	0.4483949929475783	0.6932081412634074	5.496929983417331e-07	2.2528401571382502e-05
ENSMUSG00000028248	ENSMUSG00000028248	80	-0.6265039712190619	-1.0695462050687443	6.409546973173974e-07	2.5844947472475705e-05
ENSMUSG00000091694	ENSMUSG00000091694	183	-0.0488369718194003	-0.1141588300173783	6.851127682949709e-07	2.71870146148798e-05
ENSMUSG00000058927	ENSMUSG00000058927	217	0.2651353515684606	0.4383051217487181	7.728842292831217e-07	3.0190790206371942e-05
ENSMUSG00000065016	ENSMUSG00000065016	91	-0.417873662710189	-0.7857728228198185	8.891650236098059e-07	3.4198654754223306e-05
ENSMUSG00000072082	ENSMUSG00000072082	86	-0.3350981786847119	-0.7128696394376832	9.417183299831322e-07	3.5671148862997434e-05
ENSMUSG00000066366	ENSMUSG00000066366	207	-0.0007559016346934	-0.001491470361641	9.785706166498542e-07	3.651382897947217e-05
ENSMUSG00000020953	ENSMUSG00000020953	161	0.1736264407634735	0.2928280299368797	1.131918881291938e-06	4.161466475338007e-05
ENSMUSG00000035385	ENSMUSG00000035385	109	-0.1184593915939344	-0.2346801809667776	1.3026832499374308e-06	4.694619151360665e-05
ENSMUSG00000106107	ENSMUSG00000106107	104	-0.3462861653417348	-0.7078271055979493	1.3144933623809862e-06	4.694619151360665e-05
ENSMUSG00000050069	ENSMUSG00000050069	111	-0.0301282763481136	-0.0761999861235334	1.3568923253881593e-06	4.7777898781273216e-05
ENSMUSG00000056162	ENSMUSG00000056162	122	0.0845278070308271	0.1591100389085588	1.482829548482556e-06	5.148713710008875e-05
ENSMUSG00000067377	ENSMUSG00000067377	80	-0.3917687751352788	-0.6527252729411035	1.7632709110593223e-06	6.038599010477132e-05
ENSMUSG00000062115	ENSMUSG00000062115	87	-0.4232371307909491	-0.7906445057815272	1.8433320820854249e-06	6.227473250288598e-05
ENSMUSG00000045996	ENSMUSG00000045996	84	0.4910249620676025	1.0517915171789003	1.9049102643053928e-06	6.349700881017976e-05
ENSMUSG00000000359	ENSMUSG00000000359	94	-0.2141172042116513	-0.3592226077138708	2.227964629897272e-06	7.328831019398922e-05
ENSMUSG00000065701	ENSMUSG00000065701	123	-0.3522985152900211	-0.498963330487004	2.287412635415542e-06	7.426664400699812e-05
ENSMUSG00000035674	ENSMUSG00000035674	81	0.6155737519264228	1.056369901499196	2.5780130453734174e-06	8.262862324914799e-05
ENSMUSG00000111792	ENSMUSG00000111792	350	-0.0797941744327547	-0.1349099069076834	2.8591683769452203e-06	9.04800119286462e-05
ENSMUSG00000068587	ENSMUSG00000068587	85	0.3424230780452474	0.692027928984725	3.1540570921695377e-06	9.847178762044675e-05
ENSMUSG00000103869	ENSMUSG00000103869	85	-0.4369249939918518	-0.8148122222420657	3.190485918902475e-06	9.847178762044675e-05
ENSMUSG00000102602	ENSMUSG00000102602	81	-0.7040330432355384	-1.1264572709525162	3.230576725576917e-06	9.849319285295478e-05
ENSMUSG00000109378	ENSMUSG00000109378	95	-0.3093259066343299	-0.6130336635153166	3.340583497601912e-06	0.0001006199848675
ENSMUSG00000103146	ENSMUSG00000103146	90	-0.4828650295734394	-0.8896231017619374	3.600247252544264e-06	0.0001071502158495
ENSMUSG00000036098	ENSMUSG00000036098	99	-0.2655625760555263	-0.6468347608108007	4.013524516177647e-06	0.0001169750294431
ENSMUSG00000012350	ENSMUSG00000012350	100	0.1071724597364665	0.186771994996741	4.023941012842869e-06	0.0001169750294431
ENSMUSG00000028780	ENSMUSG00000028780	90	0.0422339886659765	0.0682779239165186	4.220810628452476e-06	0.0001212876617371
ENSMUSG00000058443	ENSMUSG00000058443	88	0.4748110771179189	0.9768635777950778	4.754627923708732e-06	0.0001350746569235
ENSMUSG00000087231	ENSMUSG00000087231	105	-0.3256395101547233	-0.6897535043175682	4.977298331043656e-06	0.000139811750872
ENSMUSG00000087881	ENSMUSG00000087881	92	-0.5605502873659134	-1.0380157204268563	5.7354329270342674e-06	0.0001565295693786
ENSMUSG00000044645	ENSMUSG00000044645	296	0.1844561514677461	0.2917733928349174	5.740158230738146e-06	0.0001565295693786
ENSMUSG00000102555	ENSMUSG00000102555	85	-0.5487746357917775	-0.6956870786963993	5.760288153133786e-06	0.0001565295693786
ENSMUSG00000019894	ENSMUSG00000019894	136	0.0391612716019162	0.0734498311877123	6.003003334087431e-06	0.0001613710573679
ENSMUSG00000037625	ENSMUSG00000037625	100	-0.0712586902081965	-0.121921524955987	6.089263076103357e-06	0.0001619484860665
ENSMUSG00000079363	ENSMUSG00000079363	139	-0.4127266645431507	-0.4466294040774328	6.589268105816615e-06	0.0001734017922583
ENSMUSG00000047215	ENSMUSG00000047215	81	0.5755210459232319	0.9634412709076292	7.79931752026286e-06	0.0002031072270901
ENSMUSG00000113196	ENSMUSG00000113196	118	-0.4272267667809498	-0.7004422968358908	7.981650458344092e-06	0.0002057126406789
ENSMUSG00000074521	ENSMUSG00000074521	233	0.1511468499898907	0.294520398194818	8.192344821411623e-06	0.0002089883883013
ENSMUSG00000025270	ENSMUSG00000025270	113	-0.0293404728174201	-0.0701616444893374	8.525463881969841e-06	0.0002152894919689
ENSMUSG00000021226	ENSMUSG00000021226	112	-0.1733058670535687	-0.4059094645688161	9.029179155572996e-06	0.0002257294788893
