gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000112165	259	-0.0124704942107198	-0.0114020283116706	0.9999999144318016	1.0	ENSMUSG00000112165
ENSMUSG00000066687	83	-0.2028571568429437	-0.2177136033961812	0.9999999165782834	1.0	ENSMUSG00000066687
ENSMUSG00000025347	93	0.0879387019202109	0.0873711280501334	0.9999999172688604	1.0	ENSMUSG00000025347
ENSMUSG00000100850	138	0.1529297888278967	0.1896294064545593	0.9999999213874448	1.0	ENSMUSG00000100850
ENSMUSG00000062382	88	0.0386746613774437	0.0554969943453857	0.999999923881079	1.0	ENSMUSG00000062382
ENSMUSG00000026676	114	0.1651014676783224	0.1804956524954256	0.9999999243445702	1.0	ENSMUSG00000026676
ENSMUSG00000067870	118	-0.1054083849303408	-0.1093228904138043	0.9999999256771276	1.0	ENSMUSG00000067870
ENSMUSG00000060216	106	0.0432808272307742	0.0482834718512911	0.9999999293749838	1.0	ENSMUSG00000060216
ENSMUSG00000000402	147	0.0314038604497905	0.0523790679250995	0.9999999311052394	1.0	ENSMUSG00000000402
ENSMUSG00000022797	147	0.082602202892303	0.095921394856801	0.9999999349123072	1.0	ENSMUSG00000022797
ENSMUSG00000086320	116	0.0189335063245372	0.0223158929046079	0.999999935335551	1.0	ENSMUSG00000086320
ENSMUSG00000058952	115	-0.0030282445251966	-0.0043202420262567	0.999999935520113	1.0	ENSMUSG00000058952
ENSMUSG00000037411	201	-0.0311142394319168	-0.0248168229640421	0.9999999371500364	1.0	ENSMUSG00000037411
ENSMUSG00000022528	126	-0.0256736615672709	-0.0405111919578994	0.9999999385313212	1.0	ENSMUSG00000022528
ENSMUSG00000040998	81	0.1281746980501371	0.1122097223945707	0.999999941244017	1.0	ENSMUSG00000040998
ENSMUSG00000044674	88	0.0550365872681161	0.0690786815449973	0.9999999425550063	1.0	ENSMUSG00000044674
ENSMUSG00000028234	82	0.068660481087864	0.0744281893321916	0.9999999450006356	1.0	ENSMUSG00000028234
ENSMUSG00000020846	98	0.0738989885896449	0.0806737710823906	0.999999947449184	1.0	ENSMUSG00000020846
ENSMUSG00002075453	101	0.1832568481564504	0.142441446892283	0.99999994760268	1.0	ENSMUSG00002075453
ENSMUSG00000103373	81	0.1049519792199147	0.1308138672620779	0.9999999476370556	1.0	ENSMUSG00000103373
ENSMUSG00000057137	94	0.0596165943890815	0.0730130600524662	0.9999999478814972	1.0	ENSMUSG00000057137
ENSMUSG00000046818	87	-0.0531484439969053	-0.0575881917391101	0.9999999483659178	1.0	ENSMUSG00000046818
ENSMUSG00000038305	88	-0.0254884637892243	-0.0338034423446628	0.9999999495224104	1.0	ENSMUSG00000038305
ENSMUSG00000047986	151	0.0499781125225109	0.0549603469442002	0.9999999524973648	1.0	ENSMUSG00000047986
ENSMUSG00000046699	175	0.0698500983417049	0.0892243605108027	0.9999999525405576	1.0	ENSMUSG00000046699
ENSMUSG00000025197	129	0.0418659128248667	0.0435542063856049	0.9999999534928432	1.0	ENSMUSG00000025197
ENSMUSG00000063316	88	-0.119677806086838	-0.136799322937509	0.9999999548746944	1.0	ENSMUSG00000063316
ENSMUSG00000011305	97	-0.0170069573447096	-0.0249357564158933	0.9999999553178543	1.0	ENSMUSG00000011305
ENSMUSG00000048482	157	-0.0171846210956591	-0.0167032377294119	0.99999995536724	1.0	ENSMUSG00000048482
ENSMUSG00000070639	92	0.0706503296270965	0.1023279493898908	0.9999999557299688	1.0	ENSMUSG00000070639
ENSMUSG00000042371	88	-0.0475611187517651	-0.0641830491871371	0.9999999581526894	1.0	ENSMUSG00000042371
ENSMUSG00000031383	127	-0.0284626245498637	-0.0321551648530019	0.9999999582588276	1.0	ENSMUSG00000031383
ENSMUSG00000096929	81	0.079759158194066	0.0784925862738575	0.9999999595110756	1.0	ENSMUSG00000096929
ENSMUSG00000031958	82	-0.0092399269342424	-0.0110029869106151	0.9999999622465138	1.0	ENSMUSG00000031958
ENSMUSG00000020572	90	-0.0718563631809985	-0.072265514918125	0.9999999626903084	1.0	ENSMUSG00000020572
ENSMUSG00000064368	106	-0.1213063623756175	-0.1456779367108135	0.9999999654386462	1.0	ENSMUSG00000064368
ENSMUSG00000031278	96	0.0393653491511934	0.0496426305926653	0.9999999663770764	1.0	ENSMUSG00000031278
ENSMUSG00000061825	86	-0.0035713940858804	-0.0022985120885761	0.999999970323406	1.0	ENSMUSG00000061825
ENSMUSG00000020038	89	0.0783264769939664	0.0963980948173115	0.9999999705414008	1.0	ENSMUSG00000020038
ENSMUSG00000042487	97	0.0965504311025116	0.090459169146315	0.9999999721336787	1.0	ENSMUSG00000042487
ENSMUSG00000041220	82	0.0989458903670308	0.1155390226846834	0.9999999730449478	1.0	ENSMUSG00000041220
ENSMUSG00000020123	132	-0.0352443012176079	-0.0355561139804589	0.9999999739342688	1.0	ENSMUSG00000020123
ENSMUSG00000045092	131	0.088145980238915	0.1009178782398042	0.9999999742965244	1.0	ENSMUSG00000045092
ENSMUSG00000030096	110	-0.059596025384963	-0.062977841221316	0.999999977345858	1.0	ENSMUSG00000030096
ENSMUSG00000068742	95	-0.1178712490946034	-0.1404420453338445	0.9999999777855602	1.0	ENSMUSG00000068742
ENSMUSG00000028571	148	0.0936585366725911	0.1150176484542957	0.9999999777998452	1.0	ENSMUSG00000028571
ENSMUSG00000020423	200	-0.0130571582471013	-0.0194597371756169	0.9999999778845098	1.0	ENSMUSG00000020423
ENSMUSG00000029009	118	-0.0203662861371401	-0.0245501948459452	0.9999999779529758	1.0	ENSMUSG00000029009
ENSMUSG00000041605	90	-0.0337867712602026	-0.0332120413765165	0.999999979264523	1.0	ENSMUSG00000041605
ENSMUSG00000034926	88	-0.1040446493774652	-0.1233197821264683	0.9999999796115864	1.0	ENSMUSG00000034926
ENSMUSG00000080365	90	0.2494647003710256	0.2620705341267044	0.999999980241148	1.0	ENSMUSG00000080365
ENSMUSG00000030994	133	-0.0174448881298329	-0.0173645455740986	0.9999999834163156	1.0	ENSMUSG00000030994
ENSMUSG00000042745	164	0.0067060140892873	0.006242855194772	0.999999983658551	1.0	ENSMUSG00000042745
ENSMUSG00000067144	100	0.0749814689159417	0.082467207912996	0.999999984024462	1.0	ENSMUSG00000067144
ENSMUSG00000037035	205	0.0025169504806421	0.0027422742337708	0.9999999840409336	1.0	ENSMUSG00000037035
ENSMUSG00000028613	134	0.0860549282282597	0.0999819911477458	0.9999999849451164	1.0	ENSMUSG00000028613
ENSMUSG00000061959	158	0.0827883115038277	0.1040382668550127	0.9999999849641562	1.0	ENSMUSG00000061959
ENSMUSG00000096546	96	-0.0604891729541118	-0.0596424154294222	0.9999999849728016	1.0	ENSMUSG00000096546
ENSMUSG00000109532	84	0.067766379937529	0.0670093479641912	0.9999999852062038	1.0	ENSMUSG00000109532
ENSMUSG00000032066	101	-0.0109297424554808	-0.0154266073033545	0.999999985772259	1.0	ENSMUSG00000032066
ENSMUSG00000020839	119	-0.0240053729154099	-0.0319922681775464	0.999999985834222	1.0	ENSMUSG00000020839
ENSMUSG00000030878	81	-0.0511761724948864	-0.0612374069125429	0.9999999859460026	1.0	ENSMUSG00000030878
ENSMUSG00000042514	124	0.0810702467337239	0.1043686430944222	0.9999999860089684	1.0	ENSMUSG00000042514
ENSMUSG00000036330	135	-0.076600058516487	-0.0931917193538879	0.9999999865510704	1.0	ENSMUSG00000036330
ENSMUSG00000019689	87	0.1748588681221039	0.194038254561021	0.9999999867254123	1.0	ENSMUSG00000019689
ENSMUSG00000031886	88	-0.1303815777413553	-0.190175967588762	0.9999999868342372	1.0	ENSMUSG00000031886
ENSMUSG00000095616	341	0.0963860901072622	0.1152807371227402	0.9999999871465816	1.0	ENSMUSG00000095616
ENSMUSG00000054999	193	0.1305518750101331	0.1744487774303741	0.999999988788748	1.0	ENSMUSG00000054999
ENSMUSG00000020893	95	-0.3181659966707203	-0.2700438677624041	0.9999999889503426	1.0	ENSMUSG00000020893
ENSMUSG00000030064	91	-0.0155228406190849	-0.0233477572554241	0.9999999891462094	1.0	ENSMUSG00000030064
ENSMUSG00000029570	98	0.0172668665647507	0.021579380431732	0.9999999898999176	1.0	ENSMUSG00000029570
ENSMUSG00000031596	106	-0.0711558394134068	-0.0809025709561352	0.9999999903421244	1.0	ENSMUSG00000031596
ENSMUSG00000021464	83	0.1195753872394552	0.1278229114072135	0.999999990386518	1.0	ENSMUSG00000021464
ENSMUSG00000032420	83	-0.0668958947062472	-0.0841627215201449	0.9999999907108011	1.0	ENSMUSG00000032420
ENSMUSG00000052387	126	-0.0545548708410935	-0.0950531188833807	0.999999990746491	1.0	ENSMUSG00000052387
ENSMUSG00000119761	168	0.1015882393345253	0.0992743726017715	0.999999990966844	1.0	ENSMUSG00000119761
ENSMUSG00000042766	93	-0.0005618302151527	-0.0003398346863493	0.9999999909800084	1.0	ENSMUSG00000042766
ENSMUSG00000028463	112	-0.0429872378706922	-0.0493571061401935	0.9999999918395904	1.0	ENSMUSG00000028463
ENSMUSG00000021751	82	0.0048887375742224	0.0077154862725296	0.9999999920981776	1.0	ENSMUSG00000021751
ENSMUSG00000081058	190	0.1371331583708522	0.161051387158029	0.9999999921133592	1.0	ENSMUSG00000081058
ENSMUSG00000027347	110	0.0554403355345118	0.0498545175211401	0.9999999930306012	1.0	ENSMUSG00000027347
ENSMUSG00000106147	101	0.0721152643673142	0.0499601440742916	0.9999999935554996	1.0	ENSMUSG00000106147
ENSMUSG00000119648	159	0.0896278906613592	0.0994038217536863	0.9999999937868718	1.0	ENSMUSG00000119648
ENSMUSG00000037152	86	-0.1251143405213929	-0.1409702326555267	0.9999999938316548	1.0	ENSMUSG00000037152
ENSMUSG00000022366	173	-0.1475201752036786	-0.1376452699077676	0.9999999940686948	1.0	ENSMUSG00000022366
ENSMUSG00000064370	93	0.0313260257244144	0.0402725169466393	0.999999994827428	1.0	ENSMUSG00000064370
ENSMUSG00000039236	179	0.071880150958895	0.1100921166830947	0.9999999950205892	1.0	ENSMUSG00000039236
ENSMUSG00000077323	160	0.1164720710366964	0.1205274141342702	0.9999999952469976	1.0	ENSMUSG00000077323
ENSMUSG00000028976	90	0.0776412840932605	0.0812881439284994	0.9999999952490044	1.0	ENSMUSG00000028976
ENSMUSG00000118012	200	-0.0841260312241502	-0.1424649382291417	0.999999995468072	1.0	ENSMUSG00000118012
ENSMUSG00000027488	80	0.0380648369900893	0.0412942328098235	0.9999999955761516	1.0	ENSMUSG00000027488
ENSMUSG00000078597	169	-0.0454528853297257	-0.0739995682686076	0.9999999956638752	1.0	ENSMUSG00000078597
ENSMUSG00000047844	103	-0.0595508670434349	-0.0588114005133873	0.9999999958074184	1.0	ENSMUSG00000047844
ENSMUSG00000024292	91	0.0879063408356152	0.1078775110443829	0.9999999960159044	1.0	ENSMUSG00000024292
ENSMUSG00000119286	265	0.0816509515047081	0.0891841316095352	0.9999999960699232	1.0	ENSMUSG00000119286
ENSMUSG00000018166	82	-0.1092077879235156	-0.1023278272297623	0.9999999963020828	1.0	ENSMUSG00000018166
ENSMUSG00000018585	89	0.1223069608211504	0.1620459717772004	0.9999999964660377	1.0	ENSMUSG00000018585
ENSMUSG00000005980	145	-0.0990528523921938	-0.1224395301418752	0.9999999965426232	1.0	ENSMUSG00000005980
ENSMUSG00000028957	80	0.0064233303070066	0.0096850413909704	0.9999999967876422	1.0	ENSMUSG00000028957
ENSMUSG00000029819	100	-0.0300069759599866	-0.0305381256702132	0.9999999971296968	1.0	ENSMUSG00000029819
ENSMUSG00000037465	198	-0.0508571931160976	-0.0810305062965695	0.9999999971714718	1.0	ENSMUSG00000037465
ENSMUSG00000009633	103	-0.1326774219982309	-0.1524157130741685	0.9999999974075896	1.0	ENSMUSG00000009633
ENSMUSG00000061742	96	0.0803695864975449	0.0814624940436179	0.9999999974628604	1.0	ENSMUSG00000061742
ENSMUSG00000043168	95	-0.0422481942921894	-0.0484467731998966	0.9999999976872508	1.0	ENSMUSG00000043168
ENSMUSG00000025815	92	0.0608922604471421	0.0527134593975269	0.9999999980601948	1.0	ENSMUSG00000025815
ENSMUSG00000024694	106	-0.2074235666543255	-0.177519581902856	0.9999999982121388	1.0	ENSMUSG00000024694
ENSMUSG00000109941	99	-0.0085461091250176	-0.0114127108752639	0.9999999982693408	1.0	ENSMUSG00000109941
ENSMUSG00000079710	93	-0.0714095318689957	-0.0893288639312557	0.9999999983739334	1.0	ENSMUSG00000079710
ENSMUSG00000025574	100	0.0105856211390348	0.0162389009374164	0.9999999985034146	1.0	ENSMUSG00000025574
ENSMUSG00000052572	165	-0.0750705480575538	-0.0861760795226121	0.9999999985829184	1.0	ENSMUSG00000052572
ENSMUSG00000068876	87	0.0704430818557768	0.0807455340851265	0.9999999986836968	1.0	ENSMUSG00000068876
ENSMUSG00000075520	135	-0.0330123797059067	-0.0707094171174744	0.9999999987401348	1.0	ENSMUSG00000075520
ENSMUSG00000061100	195	-0.0409593135351302	-0.0490306554110204	0.9999999987600842	1.0	ENSMUSG00000061100
ENSMUSG00000030880	80	-0.0624429168179624	-0.0860222432829847	0.999999998797528	1.0	ENSMUSG00000030880
ENSMUSG00000102349	135	-0.0617740047513509	-0.0715954367906131	0.9999999988604884	1.0	ENSMUSG00000102349
ENSMUSG00000006538	97	-0.0617740047513509	-0.0428786642721056	0.9999999989293478	1.0	ENSMUSG00000006538
ENSMUSG00000024608	83	-0.0784664183855027	-0.0830117378273464	0.9999999990178016	1.0	ENSMUSG00000024608
ENSMUSG00000086390	90	0.0112512908875933	0.0130189744870522	0.9999999992330596	1.0	ENSMUSG00000086390
ENSMUSG00000090236	110	-0.0323401321016701	-0.037311974171691	0.9999999992390988	1.0	ENSMUSG00000090236
ENSMUSG00000023868	172	0.0247239885851741	0.0217856553051487	0.9999999992420462	1.0	ENSMUSG00000023868
ENSMUSG00000037211	117	-0.0023727029562003	-0.0020885569192795	0.999999999268772	1.0	ENSMUSG00000037211
ENSMUSG00000026188	88	-0.1281807155814001	-0.1428690279076163	0.999999999285551	1.0	ENSMUSG00000026188
ENSMUSG00000050103	165	0.0740261048078534	0.0655312600355884	0.9999999993410686	1.0	ENSMUSG00000050103
ENSMUSG00000034892	103	0.0327618405222883	0.0306766771430141	0.9999999994044904	1.0	ENSMUSG00000034892
ENSMUSG00000118859	84	0.0938824832439433	0.1034432943581772	0.9999999994115242	1.0	ENSMUSG00000118859
ENSMUSG00000078193	256	-0.0824484851211306	-0.0850606882011302	0.9999999994545576	1.0	ENSMUSG00000078193
ENSMUSG00000075420	102	0.1176768407225602	0.1179636525623382	0.9999999994612252	1.0	ENSMUSG00000075420
ENSMUSG00000073418	273	0.0246977202594267	0.0355386647318258	0.9999999994895894	1.0	ENSMUSG00000073418
ENSMUSG00000041920	90	0.1246731259394423	0.1047449721535926	0.9999999994919176	1.0	ENSMUSG00000041920
ENSMUSG00000000732	81	-0.0310251772403702	-0.0325486692993244	0.9999999995110636	1.0	ENSMUSG00000000732
ENSMUSG00000109814	182	-0.0008684950531458	-0.0008325417663716	0.9999999995187856	1.0	ENSMUSG00000109814
ENSMUSG00000012123	96	-0.0261017640586954	-0.0254750136306756	0.999999999524074	1.0	ENSMUSG00000012123
ENSMUSG00000109311	87	-0.0687131982296701	-0.0989402474310761	0.999999999534128	1.0	ENSMUSG00000109311
ENSMUSG00000006542	80	-0.0433917563408591	-0.0339509068648926	0.9999999995350712	1.0	ENSMUSG00000006542
ENSMUSG00000003380	81	0.1028939895331898	0.1065712871400006	0.9999999995350743	1.0	ENSMUSG00000003380
ENSMUSG00000039646	88	-0.2990006752312185	-0.2595595038858594	0.999999999542587	1.0	ENSMUSG00000039646
ENSMUSG00000028967	115	0.0189372103661303	0.0212330861832534	0.999999999552757	1.0	ENSMUSG00000028967
ENSMUSG00000017002	174	-0.0530413941945903	-0.0674737573926568	0.9999999995916976	1.0	ENSMUSG00000017002
ENSMUSG00000049892	226	-0.1561638034880159	-0.1966864456899912	0.9999999995931372	1.0	ENSMUSG00000049892
ENSMUSG00000068735	101	-0.0691996581852442	-0.1010759152020611	0.9999999996164612	1.0	ENSMUSG00000068735
ENSMUSG00000070469	226	-0.0616354031488316	-0.0630294338120328	0.9999999996333416	1.0	ENSMUSG00000070469
ENSMUSG00000064337	186	0.11708311047405	0.123481566990555	0.9999999996358296	1.0	ENSMUSG00000064337
ENSMUSG00000005547	193	-0.0380876132752745	-0.0424086636608568	0.9999999996472252	1.0	ENSMUSG00000005547
ENSMUSG00000034785	178	0.1034859083592902	0.1322679843389619	0.9999999996681526	1.0	ENSMUSG00000034785
ENSMUSG00000058914	181	-0.0478617809712896	-0.0674031062207354	0.999999999681046	1.0	ENSMUSG00000058914
ENSMUSG00000061718	132	-0.0554146806709472	-0.091049864092387	0.9999999996821513	1.0	ENSMUSG00000061718
ENSMUSG00000019082	106	-0.0214309990406035	-0.0324716308496007	0.999999999733482	1.0	ENSMUSG00000019082
ENSMUSG00000026489	95	-0.0449699125252687	-0.0463074149443097	0.9999999997443616	1.0	ENSMUSG00000026489
ENSMUSG00000020679	86	-0.0161714008077972	-0.0174063617804753	0.9999999997446612	1.0	ENSMUSG00000020679
ENSMUSG00000003949	84	-0.0019744034390903	0.0021886136775851	0.9999999997674498	1.0	ENSMUSG00000003949
ENSMUSG00000022383	86	-0.0060555584728725	-0.0086082102570083	0.9999999997716282	1.0	ENSMUSG00000022383
ENSMUSG00000085541	131	0.0514258936047562	0.0659264855182212	0.999999999796226	1.0	ENSMUSG00000085541
