gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000105970	0.0068951202711646925	0.0667119577493159	0.0736070780204806
ENSMUSG00000002020	0.006881445630618897	0.0585544189823732	0.0654358646129921
ENSMUSG00000102415	0.006869106564320104	0.2411560056144119	0.248025112178732
ENSMUSG00000061718	0.0068298111613060986	0.1196145427171698	0.1127847315558637
ENSMUSG00000104693	0.006821154855837799	0.0598109973707505	0.0529898425149127
ENSMUSG00000029829	0.006815093612474593	0.1908839251257334	0.197699018738208
ENSMUSG00000031886	0.006796042558253106	0.0618919169121425	0.0686879594703956
ENSMUSG00000073940	0.006779341145217402	0.072806898945117	0.0795862400903344
ENSMUSG00000052305	0.0067678968509228	0.0860936213642843	0.0928615182152071
ENSMUSG00000021453	0.006749065570100576	0.215318094096987	0.2085690285268864
ENSMUSG00000025089	0.0067419628666755965	0.0857368237487347	0.0924787866154103
ENSMUSG00000086841	0.006718856606463375	0.3098429311788351	0.3031240745723717
ENSMUSG00000031431	0.006717313613784193	0.2609420550643805	0.2676593686781647
ENSMUSG00000033170	0.00670045080570586	0.2989040639680782	0.3056045147737841
ENSMUSG00000020181	0.0066820095534251	0.088786480780973	0.0954684903343981
ENSMUSG00000010307	0.006669215542447496	0.0743398632429968	0.0676706477005493
ENSMUSG00000063412	0.006622214504184792	0.1690688462120652	0.1624466317078804
ENSMUSG00000102555	0.006603650111811299	0.0842037622549528	0.0776001121431415
ENSMUSG00000006641	0.0066025446703748825	0.1462217794853883	0.1528243241557632
ENSMUSG00000022419	0.0065959909833887	0.4295831255352685	0.4361791165186572
ENSMUSG00000034825	0.00656825370778831	0.0799469890436322	0.0733787353358439
ENSMUSG00000075279	0.0065578729188510015	0.1219353127482825	0.1153774398294315
ENSMUSG00000025316	0.006557809866251207	0.2881999570398926	0.2947577669061438
ENSMUSG00000104273	0.006507119297758407	0.1517016093045624	0.1582087286023208
ENSMUSG00002075931	0.006502178078495485	0.1558557843521815	0.162357962430677
ENSMUSG00000096768	0.006496552154893587	0.1372360969597936	0.1437326491146872
ENSMUSG00000079419	0.006484696266352508	0.2509827574494799	0.2574674537158324
ENSMUSG00000030769	0.006474932317301729	0.3059200184522434	0.2994450861349417
ENSMUSG00000028036	0.006467058689939992	0.1852265176264381	0.1916935763163781
ENSMUSG00000031441	0.006423647374114716	0.2816419609919063	0.288065608366021
ENSMUSG00000054690	0.00641788958020531	0.204866363078788	0.2112842526589933
ENSMUSG00000102145	0.006407628921539621	0.2765321636304291	0.2701245347088895
ENSMUSG00000027111	0.006393327513352698	0.2287182374936632	0.2351115650070159
ENSMUSG00000050315	0.006386802612901393	0.2549919916737734	0.248605189060872
ENSMUSG00000033863	0.006364537024457412	0.089803109238757	0.0834385722142996
ENSMUSG00000110195	0.006354300754067899	0.2545291136358192	0.2608834143898871
ENSMUSG00000060636	0.006340420566675303	0.1188815639226601	0.1125411433559848
ENSMUSG00000038690	0.006337169546758489	0.1273753868446051	0.1210382172978466
ENSMUSG00000040258	0.006298850463232281	0.2308156265068221	0.2371144769700544
ENSMUSG00000020810	0.006275825799367404	0.0827576567495244	0.0890334825488918
ENSMUSG00000057337	0.006229129809048717	0.3307799607422422	0.3245508309331935
ENSMUSG00000102151	0.006227759235586092	0.1204895243330115	0.1142617650974254
ENSMUSG00000065649	0.006224460650693403	0.1673091291233674	0.161084668472674
ENSMUSG00000105096	0.00622268991395486	0.3525092165941964	0.3462865266802415
ENSMUSG00000121375	0.006214330524443701	0.2540588839940456	0.2602732145184893
ENSMUSG00000080365	0.006199117964783507	0.1896099238095636	0.1958090417743471
ENSMUSG00000102594	0.006192109899468501	0.0763614201554509	0.0825535300549194
ENSMUSG00000071337	0.006177912366759908	0.1313172061678747	0.1251392938011148
ENSMUSG00000060093	0.0061644254433365075	0.0764609125914828	0.0826253380348193
ENSMUSG00000021135	0.006162432338713664	0.3253915934445201	0.3315540257832338
ENSMUSG00000029822	0.0061487039801980115	0.0712721068235456	0.0774208108037436
ENSMUSG00000028158	0.006132889802040589	0.0782039699682821	0.0843368597703227
ENSMUSG00000056162	0.0061280356025955884	0.2419952585249591	0.2358672229223635
ENSMUSG00000113140	0.006126297767649502	0.3312152085788671	0.3250889108112176
ENSMUSG00000037621	0.0061213294343474	0.3470193571079051	0.3408980276735577
ENSMUSG00000001506	0.006067336999269701	0.2533532483757986	0.2594205853750683
ENSMUSG00000078122	0.006060182383239798	0.1827411744853738	0.176680992102134
ENSMUSG00000024313	0.006018696753597591	0.1380487032233364	0.1320300064697388
ENSMUSG00000078921	0.006014395455938598	0.0963976326501557	0.1024120281060943
ENSMUSG00000015468	0.00601179905340779	0.0810410219426906	0.0750292228892828
ENSMUSG00000038271	0.006008835943697388	0.32636193805413	0.3323707739978274
ENSMUSG00000079553	0.006008558494627503	0.0850019749962176	0.0910105334908451
ENSMUSG00000112289	0.006004716495863316	0.3249573286821164	0.3189526121862531
ENSMUSG00000027078	0.005988267582238804	0.0843106502287108	0.078322382646472
ENSMUSG00000062727	0.005973947800127194	0.15826007153613	0.1522861237360028
ENSMUSG00000024292	0.005972654049444914	0.2142324241026869	0.2202050781521318
ENSMUSG00000020904	0.0059703714779758	0.1833035360495912	0.1773331645716154
ENSMUSG00000028035	0.00594658888700228	0.1363948761192715	0.1423414650062738
ENSMUSG00000028967	0.005933596022717702	0.1604237565648431	0.1544901605421254
ENSMUSG00000079018	0.005898569052859098	0.0901469323536017	0.0960455014064608
ENSMUSG00000035674	0.005894717219208423	0.2194118588070461	0.2135171415878377
ENSMUSG00000077167	0.005890767532300306	0.2251052540144753	0.2309960215467756
ENSMUSG00000106386	0.0058870946342612085	0.2259868032019115	0.2200997085676503
ENSMUSG00000026348	0.005882665960513511	0.1320108512210553	0.1378935171815688
ENSMUSG00000041895	0.005868696668787005	0.1363106636754005	0.1304419670066135
ENSMUSG00000024440	0.005865067207529995	0.2426221318302624	0.2367570646227324
ENSMUSG00000102813	0.00584916691106091	0.2983052323117406	0.2924560654006797
ENSMUSG00000060143	0.005830866011934097	0.0759898957090537	0.0818207617209878
ENSMUSG00000030283	0.005799050672237571	0.3074066039819371	0.3016075533096995
ENSMUSG00000031445	0.005795461850186701	0.3466530466874001	0.3524485085375868
ENSMUSG00000080538	0.0057804923408767	0.1178927373208566	0.1121122449799799
ENSMUSG00000118751	0.0057780161065632	0.0905455489938563	0.0963235651004195
ENSMUSG00000070392	0.0057593195925679935	0.1190244748485374	0.1132651552559694
ENSMUSG00000030083	0.0057561705735477975	0.0797644866883639	0.0740083161148161
ENSMUSG00000095595	0.005730571789540395	0.2395904407061024	0.233859868916562
ENSMUSG00000104388	0.0057079388923736984	0.1232463837713362	0.1289543226637099
ENSMUSG00000050359	0.005687428009065687	0.1788564305914803	0.1731690025824146
