gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000038146	Notch3	98	-0.3234754532575615	-0.5489227739466073	0.0017545125962998	0.0270660809256264
ENSMUSG00000019942	Cdk1	80	-0.3024698598776026	-0.6445816002117848	0.0017592952601657	0.0270660809256264
ENSMUSG00000056025	Clca3a1	103	0.108790478110312	0.2007290231522514	0.0018129103754273	0.0275378791204147
ENSMUSG00000041293	Adgrf1	91	0.1477373361587529	0.2586317945963717	0.0019895098558649	0.0298426478379748
ENSMUSG00000004951	Hspb1	80	-0.0080359756946564	-0.0159244835526955	0.0024810673763387	0.0367565537235377
ENSMUSG00000048997	Atxn7l2	87	-0.282145208120347	-0.6097779770608636	0.0026627858213875	0.0386444684791565
ENSMUSG00000048583	Igf2	150	-0.1415867696516228	-0.2848586487895696	0.0026729090698083	0.0386444684791565
ENSMUSG00000058443	Rpl10-ps3	80	0.374982374906541	0.7294052731532561	0.0027357149290841	0.0390816418440599
ENSMUSG00000068263	Efcc1	88	-0.4441400006413473	-0.7497615937723339	0.0029559514142181	0.0417310787889616
ENSMUSG00000090877	Hspa1b	94	0.1181962639093392	0.1982526757301418	0.0030750604537677	0.0429078202851308
ENSMUSG00000023067	Cdkn1a	86	0.0150209266226735	0.0316245426352802	0.0035762783287237	0.0489628965702002
ENSMUSG00000026602	Nphs2	169	0.027905626595021	0.0473408687464863	0.003590612415148	0.0489628965702002
