gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000065353	86	0.3888689957559127	0.4272311352554395	0.2324882691190173	1.0	Snora73b
ENSMUSG00000031748	83	-0.2944289244711446	-0.4022434765158816	0.2339214493643948	1.0	Gnao1
ENSMUSG00000042379	113	-0.0652865737676644	-0.0858978210775237	0.2402743575784369	1.0	Esm1
ENSMUSG00000030717	80	0.4223034355323775	0.4493855324522748	0.2441916798374873	1.0	Nupr1
ENSMUSG00000031825	88	-0.1655256271827966	-0.2228906388457028	0.2477059339448509	1.0	Crispld2
ENSMUSG00000119476	95	0.4579715833067975	0.4798338138065447	0.2540519514779068	1.0	Rnu1a1
ENSMUSG00000029778	97	-0.0367158055305479	-0.0460001630525327	0.2556216117460301	1.0	Adcyap1r1
ENSMUSG00000063556	177	-0.0268168553593561	-0.0266843859016887	0.2560716059220234	1.0	Gm10132
ENSMUSG00000024299	81	-0.115266934037207	-0.1460834094526792	0.2606748121371187	1.0	Adamts10
ENSMUSG00000023905	98	0.1803877240046862	0.2475457258682825	0.2638854084673425	1.0	Tnfrsf12a
ENSMUSG00000025650	85	0.290355563256889	0.3408902311752297	0.2665736956674353	1.0	Col7a1
ENSMUSG00000026417	93	-0.0974792435765263	-0.1212226372059052	0.2678146941891317	1.0	Pigr
ENSMUSG00000064655	80	0.6010172247886703	0.7213024914354684	0.269320768776158	1.0	Gm25788
ENSMUSG00000074577	83	-0.236266570856973	-0.3627028970864466	0.2700818819609925	1.0	Ripor3
ENSMUSG00000028262	113	0.2462047662585981	0.2999903683694777	0.2727249858880332	1.0	Clca3a2
ENSMUSG00000038943	80	0.1592633600812406	0.2174824667181197	0.2794791986231251	1.0	Prc1
ENSMUSG00000006398	80	0.2114335708320182	0.2688218693342719	0.2852176630220272	1.0	Cdc20
ENSMUSG00000036062	89	-0.2228750288486447	-0.2786350241546598	0.2936403766471711	1.0	Phf24
ENSMUSG00000095123	81	0.1802676200866726	0.2185513697020215	0.3001654845510281	1.0	ENSMUSG00000095123
ENSMUSG00000115420	86	0.4243328515440255	0.519335168955096	0.3064620577833784	1.0	ENSMUSG00000115420
ENSMUSG00000078921	80	-0.3024615171772885	-0.3145866155213518	0.3071667632063816	1.0	Tgtp2
ENSMUSG00000065226	85	0.5923999905586294	0.7417602869440785	0.3094067240405711	1.0	Gm25791
ENSMUSG00000035686	80	-0.4898560404311842	-0.6259124863668322	0.3126947137895022	1.0	Thrsp
ENSMUSG00000026822	116	0.08140821205452	0.1198417784665859	0.3174777199637904	1.0	Lcn2
ENSMUSG00000062248	98	0.0178138063754885	0.0183415826057288	0.319159917110323	1.0	Cks2
ENSMUSG00000028364	87	-0.0615928277373309	-0.0616939953381027	0.3355016822674104	1.0	Tnc
ENSMUSG00000024620	81	-0.5377562835812548	-0.729038033377732	0.336588403095956	1.0	Pdgfrb
ENSMUSG00000065232	80	0.4931717164814512	0.6155294513303002	0.3467889349348612	1.0	Gm22973
ENSMUSG00002076809	143	0.3765958189964303	0.5137047009483655	0.3470755450058448	1.0	ENSMUSG00002076809
ENSMUSG00000023067	86	0.0234800338745119	0.0496040941524895	0.3506547369315049	1.0	Cdkn1a
ENSMUSG00000037725	80	0.1718900330364726	0.2385387380320643	0.3521648280984931	1.0	Ckap2
ENSMUSG00000064427	87	0.5256712496280722	0.5926809880649352	0.3568966975482438	1.0	Gm22748
ENSMUSG00000043099	113	0.1060454244725405	0.1251903690024839	0.364078301295861	1.0	Hic1
ENSMUSG00000059401	90	0.0121510740369575	0.0133159618830218	0.3653298692307226	1.0	Mamld1
ENSMUSG00000069516	121	-0.018457329459488	-0.0301246014906142	0.367746119330362	1.0	Lyz2
ENSMUSG00000021670	101	-0.2360048752278079	-0.3057852471833622	0.3842810512281993	1.0	Hmgcr
ENSMUSG00000077254	82	0.6135555278509901	0.6809694158623443	0.3869498609515837	1.0	Gm26079
ENSMUSG00000039710	89	-0.4553715482354154	-0.5473972337681132	0.3897902826025335	1.0	Slc7a12
ENSMUSG00000022425	88	0.1273053326178359	0.2081967946753401	0.3954418715972739	1.0	Enpp2
ENSMUSG00000057836	237	0.266368336975567	0.3099610944264818	0.4009689659507564	1.0	Xlr3a
ENSMUSG00000119640	117	0.2534899353981052	0.2315190567618567	0.4128401561370011	1.0	Gm24871
ENSMUSG00000028214	121	-0.1507899165153512	-0.1763929412895259	0.4135329289703473	1.0	Gem
ENSMUSG00000028937	97	0.2399927132762952	0.3329345513958598	0.4146015665053806	1.0	Acot7
ENSMUSG00000043122	80	-0.3023148031905271	-0.3858368357358867	0.4293504682368541	1.0	A530016L24Rik
ENSMUSG00000047507	80	-0.4392095953226046	-0.5597590480483112	0.4316317983782664	1.0	Baiap3
ENSMUSG00000001642	80	0.2200156975071878	0.2607817271884484	0.4326953769429429	1.0	Akr1b1
ENSMUSG00000023505	80	0.2473387998528794	0.3545047763306727	0.4346374719388141	1.0	Cdca3
ENSMUSG00000099241	185	0.0358953839866441	0.044930921962157	0.4368294364408971	1.0	Gvin-ps2
ENSMUSG00000006313	84	-0.4075303441844888	-0.4791287650659865	0.4399963403735475	1.0	Upk1a
ENSMUSG00000001119	87	-0.1525513827800746	-0.2105341754491005	0.4490462683991604	1.0	Col6a1
ENSMUSG00000032218	81	0.183023858070379	0.2118752007277556	0.4496854710609272	1.0	Ccnb2
ENSMUSG00000050074	97	0.0295835843473475	0.0437060122743325	0.4555261392769633	1.0	Spink8
ENSMUSG00000023036	142	-0.1388478851295085	-0.1439697246930587	0.4576609105568625	1.0	Pcdhgc4
ENSMUSG00000075279	81	-0.1091021224856374	-0.1583589976968639	0.4589716822575507	1.0	Mrpl23-ps1
ENSMUSG00000047379	130	0.2458881087601183	0.2737419125165452	0.4613908561735981	1.0	B4gat1
ENSMUSG00000004951	80	-0.0152405094355362	-0.0222353773782524	0.4646737267732698	1.0	Hspb1
ENSMUSG00000030546	80	-0.2041698554530728	-0.2452718662823719	0.4664879813718328	1.0	Plin1
ENSMUSG00000033952	80	0.165579621121288	0.2521594303631342	0.473503358959333	1.0	Aspm
ENSMUSG00000109314	94	0.0610235989093811	0.0851056887799395	0.4787572051047348	1.0	ENSMUSG00000109314
ENSMUSG00000038738	98	-0.0273719231598063	-0.0212902432825487	0.4827231070799572	1.0	Shank1
ENSMUSG00000066113	86	-0.4173435643315293	-0.4773281895593042	0.4835190073164561	1.0	Adamtsl1
ENSMUSG00000060924	87	-0.1767885863780937	-0.2601999320062138	0.4845311075004973	1.0	Csmd1
ENSMUSG00000103089	81	-0.1514824509620654	-0.1127268926925737	0.485421880224949	1.0	ENSMUSG00000103089
ENSMUSG00000121655	88	0.2141216665506397	0.3052835700733082	0.4856062087636309	1.0	Gm10177
ENSMUSG00000055827	103	-0.2983400322496916	-0.3167194529797602	0.4888007849913678	1.0	Gsdmc3
ENSMUSG00000053846	108	-0.2335175604559484	-0.3467062846610795	0.4967206039777139	1.0	Lipg
ENSMUSG00000048040	85	-0.2889273248612872	-0.3520131358383831	0.4977843697849138	1.0	Arxes2
ENSMUSG00000031722	80	-0.3264884437317992	-0.4118737104212804	0.509917827458251	1.0	Hp
ENSMUSG00000074264	103	-0.2011697802692665	-0.2140186716662735	0.5131150486815872	1.0	Amy1
ENSMUSG00000033715	86	-0.2827849727123971	-0.2763683642386514	0.5132608696834496	1.0	Akr1c14
ENSMUSG00000049241	125	-0.2076500907540325	-0.2668999689926833	0.5151130141576877	1.0	Hcar1
ENSMUSG00000032198	82	-0.1693927908316221	-0.1992297886174361	0.5167448948260376	1.0	Dock6
ENSMUSG00000001349	137	-0.2146972328424423	-0.2250367953058367	0.5193229580162616	1.0	Cnn1
ENSMUSG00000028270	80	-0.1664274021983145	-0.199305989102721	0.5269199037619927	1.0	Gbp2
ENSMUSG00000022033	82	-0.0674313541501742	-0.0922069481761306	0.5326279696312648	1.0	Pbk
ENSMUSG00002074875	109	0.1322646997869	0.1833041500233979	0.5450124739598257	1.0	ENSMUSG00002074875
ENSMUSG00000049436	80	-0.1842282028868805	-0.1853049171789532	0.5469994415750491	1.0	Upk1b
ENSMUSG00000064382	81	0.6018400173634344	0.6667105814960823	0.5502872041518623	1.0	Gm26447
ENSMUSG00000119227	84	0.5649338200688396	0.6313586791512619	0.5569145827884407	1.0	Gm25099
ENSMUSG00000119895	80	0.4609146400733183	0.5075175190690213	0.5578525036701554	1.0	Gm22513
ENSMUSG00000014778	80	-0.1683408318553075	-0.1997147845753357	0.5639551749264616	1.0	Fhod1
ENSMUSG00000085087	96	-0.0355277014896268	-0.0397177396640802	0.5724487488463242	1.0	ENSMUSG00000085087
ENSMUSG00000027339	105	0.1031390406191329	0.1858979230681627	0.5770153843568911	1.0	Rassf2
ENSMUSG00000027322	173	0.0588741526007624	0.100526571994702	0.5812311278598524	1.0	Siglec1
ENSMUSG00000069273	81	0.4415907174348857	0.5647440862310965	0.5997136509493132	1.0	H3c6
ENSMUSG00000005611	81	-0.2019295576959867	-0.2988547434334885	0.6039362182789099	1.0	Irag1
ENSMUSG00000079105	144	-0.0576648991554966	-0.0621424384035708	0.6051335705131631	1.0	C7
ENSMUSG00000025270	88	0.0673857762594718	0.1064167043244761	0.6069282506743099	1.0	Alas2
ENSMUSG00000025082	94	-0.0028662158176298	-0.0048113735312256	0.6091554430668737	1.0	Vwa2
ENSMUSG00000047793	84	-0.2646454662084543	-0.3623190772699988	0.610455359253943	1.0	Sned1
ENSMUSG00000040488	80	-0.1832753215217957	-0.2104961601884633	0.6116753489016176	1.0	Ltbp4
ENSMUSG00000060032	101	0.5168876342475444	0.5652656987693693	0.6120030056671621	1.0	H2aj
ENSMUSG00000025479	186	-0.1129017896950223	-0.1484465108649958	0.6164227848850793	1.0	Cyp2e1
ENSMUSG00000102504	80	-0.2859462616790528	-0.3601746744323514	0.6205043948475875	1.0	ENSMUSG00000102504
ENSMUSG00000026814	82	-0.3479448959231359	-0.3131292351776709	0.6220924510226546	1.0	Eng
ENSMUSG00000052305	89	-0.0378778636455501	-0.0609091437367196	0.6263028236710934	1.0	Hbb-b1
ENSMUSG00000078922	82	-0.2055115956813104	-0.251288658453803	0.6361907556726768	1.0	Tgtp1
ENSMUSG00000020062	81	0.1826616149395705	0.2610078006745658	0.6363151860384559	1.0	Slc5a8
ENSMUSG00000037548	139	-0.2299194427207117	-0.2869881241262803	0.6399482017758564	1.0	H2-DMb2
