gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000061100	121.65942272543907	79.1003080368042	279.7027671813964
ENSMUSG00000059201	121.26106722652912	73.57556743621826	260.9061721801757
ENSMUSG00000040569	121.03537059947848	79.7831039428711	239.38529014587402
ENSMUSG00000006574	121.02137148939073	93.15755462646484	228.7800365447998
ENSMUSG00000021135	120.92074992507696	84.53885002136231	210.88357734680176
ENSMUSG00000064360	120.14470993727446	79.81863937377929	220.57892799377439
ENSMUSG00000017002	120.12627203762531	79.73202514648438	228.2285259246826
ENSMUSG00000056116	119.86291502416134	97.85643310546875	288.810757446289
ENSMUSG00000066366	119.75373137369752	73.11381664276124	216.1967708587646
ENSMUSG00000036218	119.73847331106663	88.53402080535889	206.45514297485343
ENSMUSG00000078193	119.71097936481237	84.17649841308594	242.90360641479475
ENSMUSG00000034450	119.44220487773418	102.13386535644531	238.29167137145993
ENSMUSG00000119838	119.392748311162	31.86414952278137	299.6005020141601
ENSMUSG00000001020	118.73887512087822	71.96628894805909	238.6482109069824
ENSMUSG00000026602	118.73550219833851	56.35147752761841	269.8359191894531
ENSMUSG00000024427	118.3667072802782	79.28565521240235	216.80676002502435
ENSMUSG00000100153	118.06570786237717	69.28247413635253	256.5353446960449
ENSMUSG00000026348	117.6304265037179	53.77498979568482	327.04445419311514
ENSMUSG00000038393	117.58672313392162	102.27993030548096	323.9901489257812
ENSMUSG00000057836	117.316221752204	112.31635112762451	364.5053482055664
ENSMUSG00000074183	117.30092339962721	58.87081184387207	303.1617576599121
ENSMUSG00000019874	117.00309979170561	84.3072280883789	212.83244056701642
ENSMUSG00000120777	116.98174853622913	104.83927135467529	300.69367218017567
ENSMUSG00000063681	116.97556610405445	58.61064910888672	255.11869049072257
ENSMUSG00000119640	116.94302055798471	69.12651500701904	247.36585388183587
ENSMUSG00000053141	116.72274505905807	51.884472370147705	232.06524581909173
ENSMUSG00000039395	116.67377046495676	86.17860717773438	198.56081314086885
ENSMUSG00000064358	116.06427638977766	75.5693769454956	259.5414291381835
ENSMUSG00000092746	115.01760076079518	85.2329309463501	251.38496131896966
ENSMUSG00000028195	114.56246356293559	94.41517181396485	223.52018775939942
ENSMUSG00000070661	113.95248533785343	60.724370670318606	242.96162147521972
ENSMUSG00000106147	113.49316128343344	70.13748111724854	246.53999252319335
ENSMUSG00000044786	113.25263773649931	59.165096282958984	212.221939086914
ENSMUSG00000115232	113.25251130014658	70.05657920837402	207.69163856506344
ENSMUSG00000031775	112.68717637658119	44.92652263641357	324.98645172119143
ENSMUSG00000111497	112.65078065544367	63.098690032958984	214.53184623718246
ENSMUSG00000019577	112.4928444698453	51.11038951873779	239.16397743225085
ENSMUSG00000085241	112.15721675008535	63.41114797592163	197.68203430175774
ENSMUSG00000054520	111.95888160355389	60.931083869934085	386.49746398925777
ENSMUSG00000038418	111.7402678951621	78.7663106918335	235.88433609008786
ENSMUSG00000024190	111.66628325730562	70.43240394592286	214.63483161926266
ENSMUSG00000048489	111.59330691583455	71.02950477600098	215.13559112548822
ENSMUSG00000094306	111.43046547845006	81.13705062866211	200.13945159912095
ENSMUSG00000081604	110.74940474331379	71.51751804351807	356.1760658264158
ENSMUSG00000075420	110.60655009746552	64.20056915283203	255.22941207885742
ENSMUSG00000083405	110.45103956013918	61.76234617233276	235.873675537109
ENSMUSG00000005547	110.25096800923347	71.38321743011474	228.99480400085446
ENSMUSG00000019768	109.92474622651935	98.15487136840821	226.64583396911598
ENSMUSG00000005268	109.62973268702626	102.76530265808105	172.62768630981444
ENSMUSG00000038894	109.24000879749656	87.01595077514648	200.8243221282959
ENSMUSG00000093445	109.1609774902463	62.612098693847656	238.22023620605464
ENSMUSG00000052160	108.96766655892134	72.62264251708984	191.7148990631102
