gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000031380	128.47833663225174	67.0863073348999	275.70586624145506
ENSMUSG00000006200	128.33084433153272	77.08541717529297	273.0400062561034
ENSMUSG00000022797	128.0418013781309	99.2044834136963	240.05930595397948
ENSMUSG00000063681	127.74132341891527	87.39322929382324	239.56152877807617
ENSMUSG00000020423	127.68180088326335	93.38943195343018	237.65845413208004
ENSMUSG00000030096	127.61260534822941	77.80682945251465	240.1204895019531
ENSMUSG00000054999	127.12170939520001	117.48737335205078	210.81555938720697
ENSMUSG00000032083	126.75717154145241	95.30836086273193	243.96970214843734
ENSMUSG00000054555	126.34588277339935	87.81550464630126	228.37998619079588
ENSMUSG00000116358	126.20724797993898	79.5316312789917	299.83666915893554
ENSMUSG00000078193	125.98185697384179	128.95019035339357	288.08537521362297
ENSMUSG00000096768	125.82464603707194	85.55883026123047	275.4876991271973
ENSMUSG00000022304	125.63219606131315	79.03740062713624	256.2428665161133
ENSMUSG00000019894	125.47600258514285	100.5580904006958	213.32519493103024
ENSMUSG00000006574	124.82295329868793	82.67837810516357	276.32004165649414
ENSMUSG00000021207	124.74334692209959	84.17388172149658	208.4831562042236
ENSMUSG00002076650	124.7415576055646	44.00552740097046	342.6780960083004
ENSMUSG00000032401	124.45006768405437	90.1171371459961	280.84439163208003
ENSMUSG00000005553	124.42017069645226	87.1265130996704	258.24765777587885
ENSMUSG00000052562	124.19118791818619	61.02275848388672	296.2871086120605
ENSMUSG00000116048	124.00515478849411	93.48836517333984	250.31045188903798
ENSMUSG00000089960	123.89191638678312	84.85108108520508	253.86549186706543
ENSMUSG00000052572	123.7379086241126	94.11351928710937	242.20765571594237
ENSMUSG00000027204	123.53845617175102	104.7068531036377	236.9471996307373
ENSMUSG00000023886	123.3218664675951	58.16241588592529	272.77308273315424
ENSMUSG00000026348	122.61594462394714	92.84845008850098	207.70523834228513
ENSMUSG00000050103	122.09007680416107	79.27502155303955	280.1664276123047
ENSMUSG00000034785	121.94010118022561	101.8704912185669	223.63045692443842
ENSMUSG00000015568	121.6943640857935	54.93744821548462	343.2338500976562
ENSMUSG00000061906	121.66966515034437	71.67314357757569	237.8813804626465
ENSMUSG00000028003	121.516023427248	92.11540641784669	215.46067428588864
ENSMUSG00000029372	121.1682832352817	91.97337265014649	275.6002883911133
ENSMUSG00000071637	120.99978956207633	94.0890287399292	222.39151458740227
ENSMUSG00000006154	120.89330185297877	78.05062808990479	288.57490234374995
ENSMUSG00000077323	120.65224589407444	102.02285633087158	243.440599822998
ENSMUSG00000081058	120.52341058850288	84.63775062561035	258.44087295532216
ENSMUSG00000048482	120.45296364743263	75.64631156921386	214.90322494506836
ENSMUSG00000028613	119.93410871177912	74.29738082885743	217.54224052429194
ENSMUSG00000010651	119.766590885818	92.0113956451416	223.05942611694334
ENSMUSG00000022508	119.48833113349974	87.52721405029297	272.57170944213857
ENSMUSG00000002797	119.2082002311945	69.90826072692872	245.51040649414062
ENSMUSG00000038641	119.14676131308079	91.26690979003907	209.464910507202
ENSMUSG00000100426	119.07585126906633	83.90338096618652	220.56884956359863
ENSMUSG00000058492	118.47915303334594	74.32898540496826	242.0954795837402
ENSMUSG00000000326	118.18039764463902	85.71483306884765	223.63520889282225
ENSMUSG00000087259	117.96033672615886	85.70975036621094	270.02018280029296
ENSMUSG00000038567	117.35333110392094	89.1450704574585	251.78549003601069
ENSMUSG00000071177	117.21269796416163	92.55558547973632	220.24121131896973
ENSMUSG00000025185	116.99968673661351	65.49953575134278	267.93348236083983
ENSMUSG00000121375	116.82641174271703	70.48364715576172	262.297932434082
ENSMUSG00000121818	116.78022140264511	80.40717334747315	235.44096908569324
