gene,Symbol,rewiring_mean,rewiring_std,rank_std,logFC,Category
ENSMUSG00000029445,Hpd,0.3158801639293104,0.0406360061554624,154.70888791533602,0.0640118546844235,Silent Shifter
ENSMUSG00000096768,Erdr1y,0.2905796145599478,0.0393029202922224,154.39070567880697,-0.2145080058501396,Silent Shifter
ENSMUSG00000020427,Igfbp3,0.3195232082655146,0.0386298441145761,153.88437217599454,0.1911015678454871,Silent Shifter
ENSMUSG00000021025,Nfkbia,0.3279941810539967,0.0413810341276532,153.60276690216227,0.1768651747858048,Silent Shifter
ENSMUSG00000030111,A2m,0.3112345122820117,0.0390775368203266,153.55354115096142,-0.2576078797051556,Silent Shifter
ENSMUSG00000061175,Fnip2,0.2976329672688246,0.0378410398508282,153.20708208173667,-0.0693113636879078,Silent Shifter
ENSMUSG00000005980,Dnase1,0.2864068076926868,0.0382308545981569,153.0184302625014,-0.1769425196107472,Silent Shifter
ENSMUSG00000031710,Ucp1,0.290718293208888,0.0381040825107452,152.99833332425553,0.4866174254914714,Silent Shifter
ENSMUSG00002076601,Scarna13,0.3506133675102922,0.0467497217304453,152.53143938218116,-0.3388698162876982,Silent Shifter
ENSMUSG00000102504,Gm21955,0.2201745742093426,0.0451498161343358,152.22089212719783,-0.0625611196548803,Silent Shifter
ENSMUSG00000064841,Gm26205,0.3281454025891892,0.0384284126764352,151.72504737188254,-0.3717239153042979,Silent Shifter
ENSMUSG00000010651,Acaa1b,0.2597808690126568,0.0386083757916744,151.67808015662646,-0.3441686245076477,Silent Shifter
ENSMUSG00000032350,Gclc,0.2741090566138105,0.0386225283421197,151.16666299154718,-0.1042636080054924,Silent Shifter
ENSMUSG00000078974,Sec61g,0.3117146951992187,0.0375113457556718,151.07627212769052,-0.0068268600866985,Silent Shifter
ENSMUSG00000068196,Col8a1,0.255870389794252,0.0380651508611364,150.61291445291138,-0.1719191185525349,Silent Shifter
ENSMUSG00000027962,Vcam1,0.3144389491126299,0.0440938003488243,150.56789166352831,-0.0534192480395353,Silent Shifter
ENSMUSG00000028073,Pear1,0.2789286133629192,0.0377468558659669,150.5378689898326,0.1074698906266272,Silent Shifter
ENSMUSG00000075031,H2bc3,0.3350350804621928,0.0398319359627381,149.61898275285793,-0.2757975476954759,Silent Shifter
