gene,Symbol,rewiring_mean,rewiring_std,rank_std,logFC,Category
ENSMUSG00000090877,Hspa1b,0.3589568435033121,0.048304567696953,167.07914292334635,0.0680852026783683,Silent Shifter
ENSMUSG00000013089,Etv5,0.3117522251766287,0.0387758138809691,166.95999520843307,-0.168153166319933,Silent Shifter
ENSMUSG00000026473,Glul,0.2812527308487184,0.0427886399818584,166.9082382628251,-0.0252712094207231,Silent Shifter
ENSMUSG00000057722,Lepr,0.3211883021588986,0.0422235685093224,166.63448022543233,0.0148524371056959,Silent Shifter
ENSMUSG00000058443,Rpl10-ps3,0.3996104887601617,0.058471047737039,166.2571502221784,-0.0436128406076985,Silent Shifter
ENSMUSG00000022583,Ly6f,0.2829179619265528,0.0404235762452538,165.704677061331,0.2439146451315892,Silent Shifter
ENSMUSG00000080538,Gm25541,0.3233968094887346,0.0447604166663994,165.5764476004966,-0.2419211102272488,Silent Shifter
ENSMUSG00000021207,Akr1c21,0.2488237428075777,0.0444681769572305,165.05986792676163,0.3580859989843969,Silent Shifter
ENSMUSG00000062488,Ifit3b,0.3100852000429911,0.0466804608910366,165.0455694649208,-0.2587277469071772,Silent Shifter
ENSMUSG00000091405,H4c14,0.2612111458420502,0.0452612027708482,164.9311674608532,0.2516049282536889,Silent Shifter
ENSMUSG00000054999,Naaladl1,0.2931044736980668,0.0405127009799319,164.10329064342372,-0.0814914512491754,Silent Shifter
ENSMUSG00000065649,Snora74a,0.3025978549550844,0.0401921104456712,163.68032868979705,-0.4507476045957137,Silent Shifter
ENSMUSG00000093701,Gm21970,0.3320323833196762,0.0488009435936299,163.49262980330334,0.1737617274782663,Silent Shifter
ENSMUSG00000103711,Tstd1,0.367868928097714,0.0492780012487858,163.1924017839066,-0.0361121395898088,Silent Shifter
ENSMUSG00000043770,Gm12481,0.3096655899213397,0.042828688468741,162.7089733235386,-0.230718914170214,Silent Shifter
ENSMUSG00000025479,Cyp2e1,0.3334568089909275,0.0433180689848693,162.58686908849683,0.0255494063970099,Silent Shifter
ENSMUSG00000022372,Sla,0.3617669245631649,0.0485009119683972,162.20283598013938,0.0283312201656191,Silent Shifter
ENSMUSG00000028989,Angptl7,0.3652595256700878,0.0495033670965821,162.18289058960565,-0.0845003547626143,Silent Shifter
ENSMUSG00000020865,Abcc3,0.3088693132999742,0.0422787299949884,161.88233381070336,0.0058717114891098,Silent Shifter
ENSMUSG00000089665,Fcor,0.3551080471492539,0.0612297232216433,161.74560272229968,-0.0920137762567602,Silent Shifter
ENSMUSG00000077611,Gm23946,0.2778101002609599,0.0392747467346861,161.45429693879316,-0.1651141065066503,Silent Shifter
ENSMUSG00000020620,Abca8b,0.2735724523901265,0.0393913109702485,161.44550164064654,0.0232313014221824,Silent Shifter
ENSMUSG00000075031,H2bc3,0.3070681375650391,0.0405411899617182,161.14353849906612,0.1154580317233884,Silent Shifter
ENSMUSG00000015944,Castor2,0.3252127437587272,0.0407786327996651,160.47993644066537,0.3903626846233413,Silent Shifter
ENSMUSG00000078894,2210418O10Rik,0.3268672067062425,0.0431325557080409,160.23448442829027,-0.4873617849350306,Silent Shifter
ENSMUSG00000033327,Tnxb,0.2821822298450195,0.0392831154107273,159.5483939123174,0.1883674972329206,Silent Shifter
ENSMUSG00000046999,1110032F04Rik,0.3569514070930001,0.0536252827598265,159.4487064858163,0.1265918719446879,Silent Shifter
ENSMUSG00000016942,Tmprss6,0.3958050441037839,0.0612203980223904,158.34964477383588,0.0847157654650616,Silent Shifter
ENSMUSG00000038453,Srcin1,0.3071478044362776,0.0476033045147228,157.26360036575534,0.064429860170617,Silent Shifter
ENSMUSG00000070645,Ren1,0.3226909790193742,0.0462966346958505,157.2590537934144,0.0747231709384484,Silent Shifter
ENSMUSG00000089417,Gm22009,0.3473284263775403,0.0473842063924648,156.31637790071775,-0.1855264086552185,Silent Shifter
ENSMUSG00000118866,Rn7s1,0.3525956702721221,0.0462201419864859,155.7040783024003,-0.0629319003362805,Silent Shifter
ENSMUSG00000065016,Snora3,0.3184519444205546,0.0397142305702892,155.65503525424418,-0.179455215249491,Silent Shifter
ENSMUSG00000064337,mt-Rnr1,0.2470538969961587,0.0401069403949351,155.5970758079984,-0.3175505266387922,Silent Shifter
ENSMUSG00000050621,Rps27rt,0.3561659600770729,0.043348424535102,155.34184883668664,-0.0471227238222713,Silent Shifter
ENSMUSG00000032515,Csrnp1,0.3172342485142959,0.0383550368331595,155.14125821328122,0.1077935903116908,Silent Shifter
ENSMUSG00000056313,Tcim,0.2965043226624259,0.0394668502587721,155.1312025351444,0.133782397904645,Silent Shifter
ENSMUSG00002074955,Snord3b4,0.3514150823714438,0.0501873773507973,154.2178977939979,-0.2980064295424673,Silent Shifter
ENSMUSG00000026822,Lcn2,0.2799621619199784,0.0395537387173211,153.81937459240953,0.2764739876317705,Silent Shifter
ENSMUSG00000020142,Slc1a4,0.3375327889237365,0.0421340969108334,153.42307518753492,0.1900671609950177,Silent Shifter
ENSMUSG00000065686,Snora5c,0.3324629073448642,0.0448069869596975,153.35775167887667,-0.0101479782849595,Silent Shifter
ENSMUSG00000055827,Gsdmc3,0.3093325665549957,0.0393100110527391,153.3267426119788,-0.310448871746418,Silent Shifter
ENSMUSG00000028444,Cntfr,0.3560832621689361,0.0575123114942741,152.88456429607274,-0.1397578644374754,Silent Shifter
ENSMUSG00000088990,Gm22767,0.2892581344426222,0.0366464041910049,152.71463584083878,-0.1513832335565996,Silent Shifter
ENSMUSG00000020904,Cfap52,0.2985145224555663,0.0388488038242945,151.87906373164142,-0.2557668871083762,Silent Shifter
ENSMUSG00000028553,Angptl3,0.2809367156275307,0.0370571305088024,151.8533832352773,-0.2045802676184352,Silent Shifter
ENSMUSG00000048126,Col6a3,0.3561495440510626,0.047038526353063,151.82888394505176,0.4978718797568095,Silent Shifter
ENSMUSG00000026819,Slc25a25,0.3633972588062526,0.0550496420080754,151.4356629067275,0.181896092332069,Silent Shifter
ENSMUSG00000058258,Idi1,0.3635973601167464,0.0487586412865357,151.28545865350048,0.3766819584599355,Silent Shifter
ENSMUSG00000089712,Gm15889,0.2790759728820909,0.0387770861292279,150.0346959872949,-0.1361274001960541,Silent Shifter
ENSMUSG00000005220,Corin,0.336641689574093,0.0410578187433932,150.024164720221,-0.0949400510107139,Silent Shifter
ENSMUSG00000064341,mt-Nd1,0.3048502422034967,0.0418594469730156,149.88225378609704,-0.2521333077343708,Silent Shifter
ENSMUSG00000022853,Ehhadh,0.328229502162328,0.0364626534875404,149.8371115578514,-0.1590089013934338,Silent Shifter
ENSMUSG00000004951,Hspb1,0.3796385436610787,0.0478305475334325,149.69983299923885,0.0660994297262702,Silent Shifter
ENSMUSG00000037679,Inf2,0.2497177534071056,0.0371120245286455,149.5588178610676,0.1046552732309309,Silent Shifter
ENSMUSG00000051747,Ttn,0.3270301694348673,0.0418928375355742,149.2703587454656,-0.3551302629018598,Silent Shifter
ENSMUSG00000024313,Mep1b,0.3506947110342525,0.0441224165889107,149.1328602287236,0.0109868304564389,Silent Shifter
ENSMUSG00000039463,Slc9a8,0.3322161552661224,0.0402702355698506,148.50956198171212,0.3300019316614862,Silent Shifter
