rank	gene	degree
462	ENSMUSG00000034457	128
463	ENSMUSG00000058952	127
464	ENSMUSG00000061959	127
465	ENSMUSG00000036585	127
466	ENSMUSG00000024442	127
467	ENSMUSG00000047986	127
468	ENSMUSG00000095304	127
469	ENSMUSG00000024831	127
470	ENSMUSG00000047281	127
471	ENSMUSG00000053141	127
472	ENSMUSG00000050069	127
473	ENSMUSG00000019461	127
474	ENSMUSG00000028373	127
475	ENSMUSG00000006570	127
476	ENSMUSG00000034810	127
477	ENSMUSG00000000753	126
478	ENSMUSG00000020774	126
479	ENSMUSG00000039911	126
480	ENSMUSG00000069793	126
481	ENSMUSG00000024427	126
482	ENSMUSG00000044786	126
483	ENSMUSG00000018593	126
484	ENSMUSG00000002274	126
485	ENSMUSG00000055862	126
486	ENSMUSG00000030244	126
487	ENSMUSG00000026193	126
488	ENSMUSG00000064354	125
489	ENSMUSG00000028581	125
490	ENSMUSG00000021228	125
491	ENSMUSG00000040093	125
492	ENSMUSG00000065952	125
493	ENSMUSG00000020032	125
494	ENSMUSG00000044748	125
495	ENSMUSG00000045826	125
496	ENSMUSG00000051550	125
497	ENSMUSG00000027331	125
498	ENSMUSG00000021974	124
499	ENSMUSG00000038094	124
500	ENSMUSG00000033860	124
501	ENSMUSG00000033569	124
502	ENSMUSG00000024529	124
503	ENSMUSG00000059921	124
504	ENSMUSG00000000805	124
505	ENSMUSG00000040037	124
506	ENSMUSG00000024426	124
507	ENSMUSG00000049103	124
508	ENSMUSG00000036452	124
509	ENSMUSG00000039633	124
510	ENSMUSG00000045827	123
511	ENSMUSG00000001349	123
512	ENSMUSG00000001930	123
513	ENSMUSG00000061718	123
514	ENSMUSG00000024736	123
515	ENSMUSG00000033318	123
516	ENSMUSG00000022262	123
517	ENSMUSG00000051506	123
518	ENSMUSG00000062456	123
519	ENSMUSG00000070644	123
520	ENSMUSG00000057425	123
521	ENSMUSG00000030790	123
522	ENSMUSG00000000120	123
523	ENSMUSG00000048489	123
524	ENSMUSG00000040950	122
525	ENSMUSG00000025197	122
526	ENSMUSG00000024053	122
527	ENSMUSG00000019232	122
528	ENSMUSG00000042851	122
529	ENSMUSG00000036523	122
530	ENSMUSG00000024972	122
531	ENSMUSG00000052407	122
532	ENSMUSG00000074794	122
533	ENSMUSG00000091345	122
534	ENSMUSG00000041559	122
535	ENSMUSG00000021884	122
536	ENSMUSG00000056501	122
537	ENSMUSG00000064367	122
538	ENSMUSG00000038224	122
539	ENSMUSG00000048572	122
540	ENSMUSG00000037624	122
541	ENSMUSG00000040405	122
542	ENSMUSG00000061947	121
543	ENSMUSG00000038524	121
544	ENSMUSG00000051627	121
545	ENSMUSG00000020325	121
546	ENSMUSG00000004609	121
547	ENSMUSG00000058818	121
548	ENSMUSG00000079015	121
549	ENSMUSG00000055003	121
550	ENSMUSG00000024014	121
551	ENSMUSG00000030772	121
552	ENSMUSG00000022790	121
553	ENSMUSG00000030795	121
554	ENSMUSG00000048120	121
555	ENSMUSG00000034928	121
556	ENSMUSG00000046541	121
557	ENSMUSG00000044749	121
558	ENSMUSG00000020653	121
559	ENSMUSG00000067656	120
560	ENSMUSG00000004098	120
561	ENSMUSG00000028435	120
562	ENSMUSG00000038963	120
563	ENSMUSG00000029445	120
564	ENSMUSG00000031445	120
565	ENSMUSG00000023911	120
566	ENSMUSG00000024781	120
567	ENSMUSG00000032554	120
568	ENSMUSG00000051379	120
569	ENSMUSG00000021508	120
570	ENSMUSG00000036764	120
571	ENSMUSG00000046605	120
572	ENSMUSG00000046169	120
573	ENSMUSG00000020330	120
574	ENSMUSG00000058173	120
575	ENSMUSG00000090171	120
576	ENSMUSG00000002602	120
577	ENSMUSG00000020181	120
578	ENSMUSG00000037946	119
579	ENSMUSG00000058624	119
580	ENSMUSG00000024747	119
581	ENSMUSG00000095388	119
582	ENSMUSG00000036504	119
583	ENSMUSG00000047459	119
584	ENSMUSG00000040808	119
585	ENSMUSG00000038393	119
586	ENSMUSG00000026278	119
587	ENSMUSG00000001986	119
588	ENSMUSG00000037907	119
589	ENSMUSG00000035540	119
590	ENSMUSG00000091898	119
591	ENSMUSG00000030854	119
592	ENSMUSG00000025735	119
593	ENSMUSG00000026417	119
594	ENSMUSG00000034121	119
595	ENSMUSG00000002831	119
596	ENSMUSG00000037754	119
597	ENSMUSG00000000317	119
598	ENSMUSG00000022805	119
599	ENSMUSG00000020593	118
600	ENSMUSG00000074217	118
601	ENSMUSG00000017688	118
602	ENSMUSG00000035493	118
603	ENSMUSG00000022900	118
604	ENSMUSG00000112858	118
605	ENSMUSG00000027075	118
606	ENSMUSG00000031849	118
607	ENSMUSG00000028078	118
608	ENSMUSG00000037005	118
609	ENSMUSG00000049241	118
610	ENSMUSG00000023153	118
611	ENSMUSG00000001270	118
612	ENSMUSG00000030214	118
613	ENSMUSG00000118669	118
614	ENSMUSG00000030677	117
615	ENSMUSG00000021702	117
616	ENSMUSG00000047583	117
617	ENSMUSG00000004530	117
618	ENSMUSG00000063171	117
619	ENSMUSG00000068240	117
620	ENSMUSG00000040283	117
621	ENSMUSG00000063412	117
622	ENSMUSG00000015093	117
623	ENSMUSG00000005410	117
624	ENSMUSG00000036446	117
625	ENSMUSG00000030862	117
626	ENSMUSG00000039058	117
627	ENSMUSG00000002210	117
628	ENSMUSG00000047330	117
629	ENSMUSG00000050608	116
630	ENSMUSG00000029335	116
631	ENSMUSG00000026303	116
632	ENSMUSG00000000579	116
633	ENSMUSG00000040624	116
634	ENSMUSG00000050071	116
635	ENSMUSG00000032269	116
636	ENSMUSG00000038526	116
637	ENSMUSG00000026657	116
638	ENSMUSG00000020798	116
639	ENSMUSG00000009633	116
640	ENSMUSG00000034889	116
641	ENSMUSG00000029664	116
642	ENSMUSG00000066072	116
643	ENSMUSG00000030825	116
644	ENSMUSG00000079547	116
645	ENSMUSG00000027188	116
646	ENSMUSG00000041329	116
647	ENSMUSG00000078706	116
648	ENSMUSG00000025572	116
649	ENSMUSG00000026205	116
650	ENSMUSG00000067206	115
651	ENSMUSG00000026043	115
652	ENSMUSG00000000958	115
653	ENSMUSG00000066595	115
654	ENSMUSG00000019874	115
655	ENSMUSG00000023991	115
656	ENSMUSG00000039236	115
657	ENSMUSG00000041886	115
658	ENSMUSG00000002797	115
659	ENSMUSG00000027322	115
660	ENSMUSG00000031642	115
661	ENSMUSG00000038400	115
662	ENSMUSG00000021226	115
663	ENSMUSG00000055782	115
664	ENSMUSG00000059743	115
665	ENSMUSG00000073418	115
666	ENSMUSG00000040204	114
667	ENSMUSG00000070427	114
668	ENSMUSG00000021453	114
669	ENSMUSG00000024990	114
670	ENSMUSG00000051397	114
671	ENSMUSG00000024190	114
672	ENSMUSG00000116760	114
673	ENSMUSG00000026315	114
674	ENSMUSG00000058914	114
675	ENSMUSG00000030137	114
676	ENSMUSG00000034854	114
677	ENSMUSG00000030004	114
678	ENSMUSG00000032348	114
679	ENSMUSG00000044337	114
680	ENSMUSG00000038642	114
681	ENSMUSG00000055421	114
682	ENSMUSG00000027009	114
683	ENSMUSG00000021278	114
684	ENSMUSG00000064220	114
685	ENSMUSG00000020953	114
686	ENSMUSG00000057933	114
687	ENSMUSG00000042834	114
688	ENSMUSG00000033726	114
689	ENSMUSG00000017723	113
690	ENSMUSG00000025227	113
691	ENSMUSG00000030068	113
692	ENSMUSG00000041528	113
693	ENSMUSG00000061808	113
694	ENSMUSG00000058443	113
695	ENSMUSG00000006369	113
696	ENSMUSG00000062488	113
697	ENSMUSG00000000326	113
698	ENSMUSG00000025892	113
699	ENSMUSG00000024440	113
700	ENSMUSG00000073530	113
701	ENSMUSG00000031349	112
702	ENSMUSG00000068196	112
703	ENSMUSG00000020235	112
704	ENSMUSG00000036814	112
705	ENSMUSG00000050493	112
706	ENSMUSG00000027347	112
707	ENSMUSG00000025316	112
708	ENSMUSG00000031075	112
709	ENSMUSG00000071177	112
710	ENSMUSG00000025265	112
711	ENSMUSG00000029009	112
712	ENSMUSG00000070304	112
