gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00000022372	0.08586695358388341	0.3815993702195047	0.2957324166356213
ENSMUSG00000110558	0.08533172503090872	0.3116635562261416	0.2263318311952329
ENSMUSG00000039395	0.08503242335362238	0.3010578762746319	0.2160254529210095
ENSMUSG00000033960	0.0850104275412833	0.3494340646309165	0.2644236370896332
ENSMUSG00000021125	0.08428243095161281	0.3148519920602668	0.230569561108654
ENSMUSG00000002910	0.08376707051025689	0.4238779689623615	0.3401108984521046
ENSMUSG00000020609	0.0836894040414739	0.388653636667623	0.3049642326261491
ENSMUSG00000077611	0.08345360270734381	0.2943026933459083	0.2108490906385645
ENSMUSG00000092837	0.08335080131712572	0.3091018251468635	0.2257510238297378
ENSMUSG00000030268	0.08288062732614188	0.3778560192441169	0.294975391917975
ENSMUSG00000005125	0.08283394056577292	0.3240203611309198	0.2411864205651469
ENSMUSG00000022508	0.08250629717483021	0.3737681520734069	0.2912618548985767
ENSMUSG00000099927	0.08239593625814659	0.239837429799289	0.1574414935411424
ENSMUSG00000019326	0.08205098185505022	0.3498436735223162	0.267792691667266
ENSMUSG00000031849	0.08131312107445679	0.3215535192262345	0.2402403981517777
ENSMUSG00000078597	0.08066920296067592	0.4272779113441421	0.3466087083834662
ENSMUSG00000032010	0.08049825562398219	0.2737652490479628	0.1932669934239806
ENSMUSG00000018427	0.0802776015988162	0.3593518339790696	0.2790742323802534
ENSMUSG00000095545	0.07979659999718253	0.3774594383996768	0.2976628384024943
ENSMUSG00000069265	0.07933980256256581	0.2911101199080338	0.211770317345468
ENSMUSG00000054364	0.07883425843256062	0.2840609119367493	0.2052266535041887
ENSMUSG00002075453	0.07836104752572609	0.4134437558503278	0.3350827083246017
ENSMUSG00000024552	0.07783041126115547	0.4223698348830063	0.3445394236218508
ENSMUSG00000032946	0.07732341918843294	0.453439769723574	0.3761163505351411
ENSMUSG00000079165	0.0772216923008775	0.3425616797207372	0.2653399874198597
ENSMUSG00000068086	0.0763440336410468	0.2881301957540946	0.2117861621130478
ENSMUSG00000065649	0.0762517426781621	0.3448246820540289	0.2685729393758668
ENSMUSG00000098934	0.07573544108569921	0.2631466838679211	0.1874112427822219
ENSMUSG00000112441	0.07547451567200181	0.3666734465046517	0.2911989308326499
ENSMUSG00000026725	0.07540548831174529	0.2950604967381565	0.2196550084264112
ENSMUSG00000075705	0.07529409340425408	0.3393043400553641	0.26401024665111
ENSMUSG00000040998	0.07474822217712984	0.3621773268880473	0.2874291047109175
ENSMUSG00000071637	0.07438333629887078	0.3630750310241061	0.2886916947252353
ENSMUSG00000020904	0.07420110764473142	0.3440215136935029	0.2698204060487715
ENSMUSG00000037411	0.07417845777938958	0.3883020386994532	0.3141235809200636
ENSMUSG00000087881	0.0741481639200186	0.3848641468744634	0.3107159829544448
ENSMUSG00000028909	0.07412789376795509	0.3980500807363286	0.3239221869683735
ENSMUSG00000109941	0.0736985712106707	0.3722899310780898	0.2985913598674191
ENSMUSG00000021025	0.07361704773195149	0.3268898399989089	0.2532727922669574
ENSMUSG00000076617	0.07294659665839809	0.3457823745157412	0.2728357778573431
ENSMUSG00000104960	0.0726797257210442	0.3377536721054518	0.2650739463844076
ENSMUSG00000009633	0.072548355024151	0.2934800863489005	0.2209317313247495
ENSMUSG00000064563	0.07216948464331363	0.3920650959640225	0.3198956113207089
ENSMUSG00000090101	0.07205441152806191	0.4595413376673546	0.3874869261392927
ENSMUSG00000099519	0.07155363348711041	0.4789287403273112	0.4073751068402008
ENSMUSG00000115420	0.07107975959039547	0.3403334134471483	0.2692536538567528
ENSMUSG00000027070	0.0704311776730292	0.325516165013116	0.2550849873400868
ENSMUSG00000038393	0.07014394401557539	0.3869474489329538	0.3168035049173784
ENSMUSG00000020865	0.06970205439863417	0.286306891125334	0.2166048367266998
ENSMUSG00000094306	0.0696207717393828	0.2519446385000359	0.1823238667606531
ENSMUSG00000033634	0.06959886592622208	0.2528039323193619	0.1832050663931398
ENSMUSG00000000359	0.06957808137064639	0.3181847920192299	0.2486067106485835
ENSMUSG00000065947	0.06948041356274531	0.2877581371666375	0.2182777236038922
